Date,Bottom50,50-90,90-99,99-99.9,Top0.1,Grand Total
1989:Q3,774497,7395573,7622755,2884453,1746474,20423752
1989:Q4,769228,7530446,7755658,2950044,1799240,20804616
1990:Q1,798736,7623570,7750619,2939695,1793666,20906286
1990:Q2,792270,7717390,7834853,2980196,1840720,21165429
1990:Q3,813060,7764546,7748582,2900667,1792411,21019266
1990:Q4,824457,7888357,7895413,2997546,1877181,21482954
1991:Q1,843015,8033074,8056295,3120086,1955735,22008205
1991:Q2,849378,8098193,8046501,3108562,1955464,22058098
1991:Q3,897430,8226505,8099933,3158063,1977740,22359671
1991:Q4,914497,8385466,8277772,3306997,2077285,22962017
1992:Q1,942673,8476602,8248232,3281338,2075517,23024362
1992:Q2,966640,8568456,8264226,3256938,2065241,23121501
1992:Q3,1007103,8722187,8367500,3282725,2090467,23469982
1992:Q4,1021359,8878635,8544393,3442963,2196067,24083417
1993:Q1,1005515,8947058,8634126,3534181,2301320,24422200
1993:Q2,1024975,9046779,8675499,3601570,2342270,24691093
1993:Q3,1041599,9162992,8766549,3707661,2412360,25091161
1993:Q4,1041175,9270760,8874241,3833230,2520549,25539955
1994:Q1,1027261,9327922,8907838,3844876,2595808,25703705
1994:Q2,1025714,9399654,8924219,3869632,2661662,25880881
1994:Q3,1043082,9512907,8992944,3946979,2734709,26230621
1994:Q4,1028630,9561821,9013715,3999620,2835011,26438797
1995:Q1,1051919,9697433,9149063,4130942,2939833,26969190
1995:Q2,1075575,9850314,9264510,4281524,3036299,27508222
1995:Q3,1063678,9908975,9327227,4430959,3174734,27905573
1995:Q4,1062774,10092945,9597077,4562928,3274227,28589951
1996:Q1,1080282,10279681,9819582,4653498,3321860,29154903
1996:Q2,1094505,10435747,9974599,4697255,3352809,29554915
1996:Q3,1107283,10581543,10103066,4700157,3343976,29836025
1996:Q4,1099127,10781507,10377050,4808132,3461265,30527081
1997:Q1,1123957,10890320,10507312,4810715,3442589,30774893
1997:Q2,1161240,11221830,10968211,5077720,3626616,32055617
1997:Q3,1185855,11497671,11311837,5257973,3752008,33005344
1997:Q4,1178520,11636507,11544788,5337033,3852171,33549019
1998:Q1,1247243,12051446,12098509,5673242,4093495,35163935
1998:Q2,1249499,12271184,12349675,5769879,4173604,35813841
1998:Q3,1278618,12276264,12141192,5526983,3971834,35194891
1998:Q4,1268855,12760461,12914531,6015751,4255165,37214763
1999:Q1,1283981,12962255,13028037,6065453,4181294,37521020
1999:Q2,1270595,13243209,13440856,6315153,4293837,38563650
1999:Q3,1266837,13326576,13429525,6255297,4195105,38473340
1999:Q4,1303639,13887173,14355294,6877087,4575010,40998203
2000:Q1,1371796,14274353,14724751,7123180,4611329,42105409
2000:Q2,1373489,14420587,14712004,7011714,4457717,41975511
2000:Q3,1394186,14669528,14935931,7106033,4470588,42576266
2000:Q4,1356483,14719787,14809037,6882847,4311146,42079300
2001:Q1,1401146,14919069,14769192,6767901,4126425,41983733
2001:Q2,1393353,15285003,15250986,7020558,4237190,43187090
2001:Q3,1373488,15192257,14860190,6704457,4027228,42157620
2001:Q4,1352139,15571464,15530646,7088912,4195377,43738538
2002:Q1,1379147,15808624,15769989,7200999,4221274,44380033
2002:Q2,1337647,15720441,15561053,7042437,4090530,43752108
2002:Q3,1309370,15566722,15184730,6732509,3858115,42651446
2002:Q4,1308355,15856906,15513590,6945989,3916830,43541670
2003:Q1,1281936,15951495,15642068,6938458,3895215,43709172
2003:Q2,1255350,16354868,16332469,7380116,4200099,45522902
2003:Q3,1269250,16584610,16642516,7579190,4296612,46372178
2003:Q4,1279162,17028716,17351328,7993303,4588823,48241332
2004:Q1,1338916,17604763,18193540,8466484,5075829,50679532
