Date,age40to54,age55to69,age70plus,ageunder40,College,HS,NoHS,SomeCollege,BabyBoom,GenX,Millennial,Silent,incpct00to20,incpct20to40,incpct40to60,incpct60to80,incpct80to99,incpct99to100,Bottom50,Next40,Next9,RemainingTop1,TopPt1,Black,Hispanic,Other,White
1989:Q3,6651030,7281999,3833124,2657599,10004594,4177727,2285278,3956153,4300489,78497,0,16044766,593304,1527041,2536644,3409588,8976485,3380690,774497,7395573,7622755,2884453,1746474,813293,430988,730704,18448768
1989:Q4,6767326,7398906,3970372,2668012,10448072,4167632,2228553,3960359,4417431,108465,0,16278720,604848,1536207,2549838,3470820,9156907,3485996,769228,7530446,7755658,2950044,1799240,841951,455387,769899,18737378
1990:Q1,6810564,7441851,3984654,2669217,10665195,4117997,2160339,3962755,4471428,108673,0,16326184,628441,1561817,2579656,3525229,9155571,3455572,798736,7623570,7750619,2939695,1793666,854966,464344,802469,18784507
1990:Q2,6894016,7510081,4095858,2665476,10964003,4115676,2107627,3978125,4549087,132217,0,16484127,636234,1565764,2586343,3575363,9270723,3531004,792270,7717390,7834853,2980196,1840720,880373,480142,834085,18970831
1990:Q3,6873806,7462350,4052492,2630618,10958042,4052186,2037777,3971261,4521439,134432,0,16363395,665350,1583065,2604964,3595668,9165413,3404805,813060,7764546,7748582,2900667,1792411,885784,479357,854175,18799950
1990:Q4,7047608,7631506,4172752,2631088,11343580,4089500,1996522,4053352,4708934,147302,0,16626717,689852,1606108,2638301,3675562,9329850,3543281,824457,7888357,7895413,2997546,1877181,902849,479883,887763,19212459
1991:Q1,7242637,7783525,4324726,2657318,11726343,4161511,1976915,4143437,4885175,178133,0,16944898,696865,1628656,2661387,3760181,9546727,3714391,843015,8033074,8056295,3120086,1955735,931744,486494,918410,19671559
1991:Q2,7294166,7780224,4353557,2630150,11767530,4173311,1932328,4184928,4899620,185696,0,16972781,712339,1639583,2672484,3800780,9543316,3689595,849378,8098193,8046501,3108562,1955464,948366,482595,934412,19692724
1991:Q3,7435726,7887999,4378479,2657466,11946792,4226335,1897283,4289261,5079307,183961,0,17096403,742603,1666966,2714472,3892735,9616640,3726255,897430,8226505,8099933,3158063,1977740,972347,480484,960492,19946349
1991:Q4,7665820,8088866,4520020,2687310,12317925,4335607,1878895,4429590,5348136,217536,0,17396346,762738,1687862,2746692,3996009,9844806,3923910,914497,8385466,8277772,3306997,2077285,1003566,480952,991217,20486282
1992:Q1,7724248,8064807,4540076,2695231,12279363,4391717,1851165,4502116,5369622,229149,0,17425591,771357,1693066,2755287,4057794,9855873,3890987,942673,8476602,8248232,3281338,2075517,1036232,484715,1003857,20499559
1992:Q2,7804663,8048255,4570729,2697854,12236434,4460773,1837397,4586897,5429875,243199,0,17448428,788997,1703431,2778615,4089412,9910121,3850926,966640,8568456,8264226,3256938,2065241,1068380,489792,1023912,20539417
