Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,3937198,1166126,1004806,161320,2771072,954386,60305,418939,366555,52384,27222,6992,20230,463771,34597,4861,14538,424325,340885,27243,104074,102549,41927,36499,365,23758,1525,3833124,13621435
1989:Q3,age55to69,7709162,2365720,1902003,463718,5343441,982334,170101,415666,371909,43758,107730,29164,78566,741234,98432,91842,190823,1475917,1011690,57671,427163,422849,291747,91048,1105,38950,4313,7281999,19197157
1989:Q3,age40to54,7890726,3145975,2472933,673041,4744751,657384,95641,271852,206362,65491,25734,7155,18579,632952,128349,163928,362344,1184665,1141233,80669,1239695,1233975,871210,300366,1618,60780,5721,6651030,24579466
1989:Q3,ageunder40,4037102,2111228,1512957,598271,1925874,363049,36596,99013,91411,7602,8528,899,7629,217731,92321,61986,117486,393059,475818,60286,1379503,1375369,1005806,356294,1438,11831,4135,2657599,35622043
1989:Q4,age70plus,4070143,1237995,1066967,171028,2832148,973296,64704,422800,368305,54495,32817,9609,23208,470356,36248,4932,14338,434127,350326,28204,99771,98033,37718,37548,355,22413,1738,3970372,13724617
1989:Q4,age55to69,7847897,2388132,1920803,467329,5459766,991130,172529,419200,372631,46569,113773,35273,78501,777401,104694,94419,200607,1499966,1026838,59209,448991,444395,305093,98766,1091,39445,4596,7398906,19250073
1989:Q4,age40to54,8031495,3160621,2485309,675312,4870874,670144,100837,282832,216409,66423,27568,9139,18429,648159,130751,172598,377683,1233252,1145373,81677,1264169,1258275,893096,302704,1534,60941,5894,6767326,24596084
1989:Q4,ageunder40,4080160,2133344,1521238,612106,1946817,366211,39167,99060,91048,8012,8947,1244,7703,222123,93363,62844,122568,396789,474293,61452,1412148,1408006,1024209,370267,1403,12127,4142,2668012,35691465
1990:Q1,age70plus,4082442,1245129,1064066,181063,2837313,980625,70818,430667,377806,52861,35330,8869,26461,434297,36374,4994,12081,441294,360545,30288,97788,96178,38371,34520,440,22847,1610,3984654,13824828
1990:Q1,age55to69,7912719,2433182,1952455,480727,5479537,985410,180227,433654,387225,46429,110799,32264,78535,742712,109295,96758,199815,1516067,1043017,61781,470868,466257,324221,98604,1383,42049,4611,7441851,19289215
1990:Q1,age40to54,8099934,3181716,2494698,687018,4918218,671746,109570,294412,230977,63435,26714,8469,18245,610581,131544,181181,379000,1277395,1152427,83648,1289371,1283652,925165,294754,1865,61868,5718,6810564,24635409
1990:Q1,ageunder40,4099109,2157148,1538828,618320,1941961,363536,43044,100005,91103,8902,8926,1117,7809,211311,93908,63585,123303,397724,473293,63326,1429892,1425821,1047154,364442,1762,12462,4071,2669217,35754318
1990:Q2,age70plus,4193878,1309146,1118565,190581,2884732,988646,71328,441608,386979,54629,39112,9551,29561,442082,37017,5228,10276,449476,369641,30318,98020,96416,39981,33929,360,22146,1604,4095858,13922138
1990:Q2,age55to69,8001123,2438927,1956567,482360,5562196,980015,168479,450889,401734,49155,110782,32754,78029,781352,114385,102841,201626,1533959,1055529,62338,491042,486324,339492,102388,1147,43296,4718,7510081,19315449
1990:Q2,age40to54,8210702,3184045,2495362,688683,5026657,674815,106633,310251,246316,63935,27022,8897,18125,629288,133040,195461,384434,1325188,1156479,84046,1316686,1311013,954133,292998,1478,62403,5673,6894016,24696451
1990:Q2,ageunder40,4114913,2165162,1534275,630887,1949752,361200,42515,100365,90937,9429,9026,1186,7840,216331,94597,66522,125161,399660,470514,63861,1449437,1445411,1061805,369396,1441,12769,4027,2665476,35810800
1990:Q3,age70plus,4144393,1299972,1102895,197077,2844421,999439,77117,454493,400280,54213,43460,10605,32854,354333,37100,5154,6741,456362,378937,31284,91901,90324,37155,33852,158,19160,1577,4052492,14016613
1990:Q3,age55to69,7969682,2482407,1990269,492139,5487275,977418,173849,474894,424727,50167,111375,33863,77512,655252,118830,102104,194506,1547590,1067705,63751,507331,502525,352491,107674,505,41855,4807,7462350,19329640
1990:Q3,age40to54,8214626,3207480,2510063,697417,5007146,681431,114572,327054,264849,62205,27577,9589,17988,525733,134033,200143,378117,1371628,1161599,85259,1340820,1335208,979373,293115,621,62100,5612,6873806,24778224
1990:Q3,ageunder40,4103619,2184570,1554956,629613,1919050,360220,46043,100901,90645,10256,9186,1303,7883,185922,95100,65523,123365,400226,467577,64986,1473002,1469025,1077719,377661,623,13021,3977,2630618,35861110
1990:Q4,age70plus,4255572,1305479,1100956,204523,2950093,1017633,80655,474872,409495,65377,49622,13503,36119,393996,37286,5208,6502,463869,388281,32169,82820,81092,28062,33360,176,19494,1728,4172752,14108324
1990:Q4,age55to69,8157890,2498201,1999758,498442,5659690,982982,171592,501851,440738,61113,114825,38147,76678,749601,123326,104139,205097,1562032,1079198,65047,526384,521354,363538,112936,576,44304,5030,7631506,19332654
1990:Q4,age40to54,8410543,3209737,2505800,703937,5200806,696267,117950,353631,282328,71302,29421,11535,17886,587797,135263,209126,396666,1420941,1167268,86477,1362935,1357199,1000434,292936,673,63156,5736,7047608,24879739
1990:Q4,ageunder40,4131482,2186126,1553909,632218,1945356,362828,47810,99343,89959,9383,9551,1666,7885,203376,95624,66156,128932,401392,464298,66046,1500394,1496430,1097221,385159,702,13348,3964,2631088,35905446
1991:Q1,age70plus,4395089,1355181,1140262,214920,3039908,1027363,90182,466884,397867,69017,52507,13555,38952,455308,37522,5166,7387,470661,394723,32206,70363,68689,19918,29641,304,18826,1674,4324726,14197338
1991:Q1,age55to69,8320445,2501809,2000517,501292,5818636,978208,187096,481918,415999,65919,111711,36679,75032,883964,127815,104047,221549,1573851,1082969,65509,536920,531827,373672,111557,1030,45568,5093,7783525,19325354
1991:Q1,age40to54,8619841,3215844,2507190,708654,5403997,703185,133450,361875,288971,72904,29415,11490,17925,678637,136667,215226,423674,1470248,1164524,87096,1377203,1371547,1021984,284552,1138,63873,5657,7242637,25000010
1991:Q1,ageunder40,4166154,2190523,1547559,642963,1975631,361265,54141,98595,89046,9549,9393,1639,7754,228033,96153,65580,136865,401805,457242,66560,1508836,1504929,1113578,376457,1244,13650,3907,2657318,35944008
1991:Q2,age70plus,4422231,1377386,1155510,221876,3044845,1020659,89759,476482,403712,72769,55608,13396,42212,442070,38331,5188,5757,478132,400474,32386,68674,67088,20717,28221,92,18056,1586,4353557,14283724
1991:Q2,age55to69,8334049,2513851,2010205,503646,5820198,954241,172201,496683,425668,71014,108547,34830,73717,888002,132836,105314,225103,1586689,1084506,66078,553825,548696,387946,113733,315,46701,5129,7780224,19308608
1991:Q2,age40to54,8700162,3226453,2513904,712549,5473710,694078,128860,380696,306357,74339,29198,11312,17886,674311,138820,223603,433592,1522606,1160051,87897,1405997,1400450,1053816,281703,328,64603,5547,7294166,25138048
1991:Q2,ageunder40,4153594,2194797,1549161,645636,1958797,351768,52796,97857,88194,9663,9276,1583,7693,225796,96841,65814,139558,402877,449056,67158,1523445,1519602,1127633,377648,373,13948,3843,2630150,35976993
1991:Q3,age70plus,4455239,1364623,1136559,228065,3090616,1022389,91750,474807,407884,66922,62465,17453,45012,467588,37960,5184,5658,485491,404760,32563,76759,75262,26970,27534,76,20682,1497,4378479,14367551
1991:Q3,age55to69,8453008,2549037,2037487,511550,5903972,939874,164889,500505,432487,68018,110840,39218,71622,961533,136580,105970,236544,1598549,1082070,66618,565009,559848,392341,115530,265,51713,5161,7887999,19283279
1991:Q3,age40to54,8865070,3254816,2532917,721899,5610254,694170,129364,391252,323808,67444,31875,13880,17996,721184,139783,231317,454798,1576310,1151440,88760,1429344,1423905,1077276,279661,257,66711,5439,7435726,25292866
1991:Q3,ageunder40,4173031,2208620,1566690,641930,1964411,346401,53329,99053,87182,11871,9583,2084,7500,237285,97175,65716,145440,403814,438867,67747,1515565,1511787,1117381,379776,309,14321,3778,2657466,36004600
1991:Q4,age70plus,4604261,1393477,1158560,234918,3210784,1031733,94773,472328,406768,65560,72957,26203,46754,554485,38192,5193,6169,493020,408697,33236,84241,82803,31414,27637,146,23605,1438,4520020,14448886
1991:Q4,age55to69,8675261,2567879,2054892,512986,6107382,933960,160497,497970,428975,68995,115160,47056,68103,1144895,140891,106894,250939,1610190,1078400,67587,586395,581180,403688,119966,530,56996,5215,8088866,19250233
1991:Q4,age40to54,9130616,3281484,2555591,725893,5849132,702588,132001,403254,338911,64344,37398,18982,18416,848080,141522,239691,480588,1631981,1141954,90075,1464796,1459430,1109462,280509,476,68983,5366,7665820,25463476
1991:Q4,ageunder40,4216596,2221149,1577557,643592,1995447,344682,54628,99335,86145,13190,10270,3219,7051,269068,97679,65792,152482,404899,427975,68636,1529285,1525567,1122791,387468,610,14698,3719,2687310,36027028
1992:Q1,age70plus,4634680,1451943,1208585,243358,3182737,999556,100822,482598,414020,68578,69536,20847,48688,530183,38478,5142,3308,504360,414833,33921,94604,93201,46886,24921,171,21223,1403,4540076,14527799
1992:Q1,age55to69,8654285,2576661,2065592,511069,6077624,881674,163788,517098,443027,74071,104036,39323,64713,1131755,145200,106513,248832,1630743,1079446,68538,589478,584193,410371,116953,642,56227,5285,8064807,19210335
1992:Q1,age40to54,9214200,3308579,2581141,727438,5905621,669451,140517,425237,360578,64659,34658,15843,18815,833453,143426,246263,484392,1697618,1139147,91460,1489952,1484632,1142002,272858,528,69245,5320,7724248,25648891
1992:Q1,ageunder40,4201663,2234180,1583951,650230,1967483,323443,58124,98455,84749,13707,9069,2440,6629,263580,98193,65132,152981,409728,419255,69523,1506432,1502767,1108462,378622,728,14955,3665,2695231,36044476
1992:Q2,age70plus,4676258,1488547,1235774,252773,3187711,998273,100317,474734,406314,68420,75472,24856,50617,519431,37975,5175,1555,520127,419883,34769,105529,104146,57316,24044,218,22569,1382,4570729,14604359
1992:Q2,age55to69,8647701,2578721,2066617,512104,6068980,864103,150493,503051,426492,76559,102212,40995,61217,1142711,148659,107896,252321,1650334,1077590,69609,599447,594081,415418,118162,852,59649,5365,8048255,19164450
1992:Q2,age40to54,9322972,3323120,2590864,732256,5999852,668095,136634,435219,373052,62167,37378,18134,19244,836899,144560,255845,496323,1762837,1133030,93031,1518309,1513018,1171021,270358,631,71009,5290,7804663,25848122
1992:Q2,ageunder40,4194423,2235901,1579955,655945,1958523,316878,56836,98737,83788,14949,9104,2915,6189,262607,98477,65508,155715,415200,408959,70500,1496569,1492955,1096941,379769,952,15294,3614,2697854,36057142
1992:Q3,age70plus,4707181,1469993,1211437,258556,3237188,1002881,101314,474710,412319,62391,78399,25832,52567,536085,38934,5181,1080,535858,427068,35679,104145,102767,57323,23508,130,21805,1378,4603036,14678632
1992:Q3,age55to69,8779638,2627677,2106820,520857,6151961,853010,141534,512847,438987,73861,97033,39378,57655,1203229,153546,108689,262049,1669074,1080240,70709,615244,609788,426382,122199,525,60683,5456,8164394,19113443
1992:Q3,age40to54,9540129,3377449,2633374,744075,6162680,673163,135850,451279,396263,55016,38350,18657,19694,877085,147410,264735,517407,1829480,1133210,94709,1551974,1546694,1203923,270430,343,71999,5280,7988155,26060183
1992:Q3,ageunder40,4227616,2260411,1612357,648053,1967206,313081,56684,99618,82127,17492,8722,2982,5740,270711,99171,65559,160922,420542,400691,71505,1513220,1509655,1107700,385797,574,15584,3566,2714396,36065224
1992:Q4,age70plus,4848738,1487699,1224267,263432,3361038,1004361,100278,477035,413242,63793,75310,24274,51036,629762,41381,5565,2450,554147,434155,36594,108182,106753,62503,23410,187,20653,1429,4740556,14750693
1992:Q4,age55to69,8997778,2652597,2125440,527156,6345182,864575,137643,518174,440381,77793,95724,38974,56751,1335732,149600,114690,270595,1711711,1075712,71025,623783,618507,432607,122414,730,62756,5275,8373996,19058290
1992:Q4,age40to54,9807802,3433622,2682150,751473,6374180,689994,130803,450346,392792,57554,39713,19669,20044,1003136,153326,275692,530053,1866366,1138069,96682,1593872,1588463,1233646,282392,549,71877,5408,8213931,26283959
1992:Q4,ageunder40,4282941,2275974,1624780,651194,2006968,315591,51538,101755,82362,19393,8251,2631,5620,291137,103043,68620,170996,435348,388320,72368,1528007,1524357,1111597,396554,822,15385,3649,2754935,36068964
1993:Q1,age70plus,5019103,1596877,1325160,271717,3422227,976885,103350,489658,413864,75794,78779,29209,49570,666966,43810,5838,5453,565831,448378,37279,111457,109962,67839,19546,311,22267,1495,4907646,14820630
