Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,3833124,3937198,1004806,161320,463771,424325,19399,340885,1522692,104074,41927,36499,25648
1989:Q3,age55to69,7281999,7709162,1902003,463718,741234,1475917,282665,1011690,1831935,427163,291747,91048,44368
1989:Q3,age40to54,6651030,7890726,2472933,673041,632952,1184665,526272,1141233,1259629,1239695,871210,300366,68119
1989:Q3,ageunder40,2657599,4037102,1512957,598271,217731,393059,179472,475818,659794,1379503,1005806,356294,17403
1989:Q4,age70plus,3970372,4070143,1066967,171028,470356,434127,19270,350326,1558069,99771,37718,37548,24505
1989:Q4,age55to69,7398906,7847897,1920803,467329,777401,1499966,295026,1026838,1860535,448991,305093,98766,45132
1989:Q4,age40to54,6767326,8031495,2485309,675312,648159,1233252,550281,1145373,1293809,1264169,893096,302704,68369
1989:Q4,ageunder40,2668012,4080160,1521238,612106,222123,396789,185412,474293,668200,1412148,1024209,370267,17672
1990:Q1,age70plus,3984654,4082442,1064066,181063,434297,441294,17075,360545,1584102,97788,38371,34520,24897
1990:Q1,age55to69,7441851,7912719,1952455,480727,742712,1516067,296573,1043017,1881168,470868,324221,98604,48043
1990:Q1,age40to54,6810564,8099934,2494698,687018,610581,1277395,560181,1152427,1317634,1289371,925165,294754,69452
1990:Q1,ageunder40,2669217,4099109,1538828,618320,211311,397724,186888,473293,672745,1429892,1047154,364442,18296
1990:Q2,age70plus,4095858,4193878,1118565,190581,442082,449476,15504,369641,1608029,98020,39981,33929,24110
1990:Q2,age55to69,7510081,8001123,1956567,482360,781352,1533959,304467,1055529,1886889,491042,339492,102388,49162
1990:Q2,age40to54,6894016,8210702,2495362,688683,629288,1325188,579895,1156479,1335807,1316686,954133,292998,69555
1990:Q2,ageunder40,2665476,4114913,1534275,630887,216331,399660,191683,470514,671564,1449437,1061805,369396,18236
1990:Q3,age70plus,4052492,4144393,1102895,197077,354333,456362,11895,378937,1642894,91901,37155,33852,20894
1990:Q3,age55to69,7462350,7969682,1990269,492139,655252,1547590,296610,1067705,1920118,507331,352491,107674,47166
1990:Q3,age40to54,6873806,8214626,2510063,697417,525733,1371628,578260,1161599,1369926,1340820,979373,293115,68332
1990:Q3,ageunder40,2630618,4103619,1554956,629613,185922,400226,188888,467577,676437,1473002,1077719,377661,17622
1990:Q4,age70plus,4172752,4255572,1100956,204523,393996,463869,11710,388281,1692237,82820,28062,33360,21398
1990:Q4,age55to69,7631506,8157890,1999758,498442,749601,1562032,309236,1079198,1959623,526384,363538,112936,49910
1990:Q4,age40to54,7047608,8410543,2505800,703937,587797,1420941,605792,1167268,1419008,1362935,1000434,292936,69565
1990:Q4,ageunder40,2631088,4131482,1553909,632218,203376,401392,195088,464298,681202,1500394,1097221,385159,18014
1991:Q1,age70plus,4324726,4395089,1140262,214920,455308,470661,12553,394723,1706663,70363,19918,29641,20804
1991:Q1,age55to69,7783525,8320445,2000517,501292,883964,1573851,325596,1082969,1952256,536920,373672,111557,51691
1991:Q1,age40to54,7242637,8619841,2507190,708654,678637,1470248,638900,1164524,1451688,1377203,1021984,284552,70667
1991:Q1,ageunder40,2657318,4166154,1547559,642963,228033,401805,202445,457242,686106,1508836,1113578,376457,18801
1991:Q2,age70plus,4353557,4422231,1155510,221876,442070,478132,10945,400474,1713224,68674,20717,28221,19736
1991:Q2,age55to69,7780224,8334049,2010205,503646,888002,1586689,330417,1084506,1930584,553825,387946,113733,52146
1991:Q2,age40to54,7294166,8700162,2513904,712549,674311,1522606,657195,1160051,1459547,1405997,1053816,281703,70478
1991:Q2,ageunder40,2630150,4153594,1549161,645636,225796,402877,205372,449056,675696,1523445,1127633,377648,18164
1991:Q3,age70plus,4378479,4455239,1136559,228065,467588,485491,10842,404760,1721935,76759,26970,27534,22255
1991:Q3,age55to69,7887999,8453008,2037487,511550,961533,1598549,342514,1082070,1919306,565009,392341,115530,57138
1991:Q3,age40to54,7435726,8865070,2532917,721899,721184,1576310,686115,1151440,1475205,1429344,1077276,279661,72407
1991:Q3,ageunder40,2657466,4173031,1566690,641930,237285,403814,211156,438867,673289,1515565,1117381,379776,18408
1991:Q4,age70plus,4520020,4604261,1158560,234918,554485,493020,11362,408697,1743220,84241,31414,27637,25190
1991:Q4,age55to69,8088866,8675261,2054892,512986,1144895,1610190,357833,1078400,1916064,586395,403688,119966,62741
1991:Q4,age40to54,7665820,9130616,2555591,725893,848080,1631981,720279,1141954,1506838,1464796,1109462,280509,74825
1991:Q4,ageunder40,2687310,4216596,1577557,643592,269068,404899,218274,427975,675231,1529285,1122791,387468,19026
1992:Q1,age70plus,4540076,4634680,1208585,243358,530183,504360,8450,414833,1724911,94604,46886,24921,22797
1992:Q1,age55to69,8064807,8654285,2065592,511069,1131755,1630743,355345,1079446,1880335,589478,410371,116953,62154
1992:Q1,age40to54,7724248,9214200,2581141,727438,833453,1697618,730655,1139147,1504748,1489952,1142002,272858,75092
1992:Q1,ageunder40,2695231,4201663,1583951,650230,263580,409728,218113,419255,656807,1506432,1108462,378622,19348
1992:Q2,age70plus,4570729,4676258,1235774,252773,519431,520127,6730,419883,1721540,105529,57316,24044,24169
1992:Q2,age55to69,8048255,8647701,2066617,512104,1142711,1650334,360217,1077590,1838128,599447,415418,118162,65867
1992:Q2,age40to54,7804663,9322972,2590864,732256,836899,1762837,752168,1133030,1514918,1518309,1171021,270358,76930
