Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,16.7,13.3,14.6,8.5,18.7,32.3,16.6,34.8,35.4,31,16.1,15.8,16.2,22.6,9.8,1.5,2.1,12.2,11.5,12.1,3.3,3.3,1.9,4.7,8.1,17.6,9.7,18.8,13621435
1989:Q3,age55to69,32.7,26.9,27.6,24.5,36.1,33.2,46.9,34.5,35.9,25.9,63.7,66,62.9,36.1,27.8,28.5,27.8,42.4,34.1,25.5,13.6,13.5,13.2,11.6,24.4,28.8,27.5,35.7,19197157
1989:Q3,age40to54,33.5,35.8,35.9,35.5,32.1,22.2,26.4,22.6,19.9,38.7,15.2,16.2,14.9,30.8,36.3,50.8,52.9,34.1,38.4,35.7,39.3,39.4,39.4,38.3,35.8,44.9,36.5,32.6,24579466
1989:Q3,ageunder40,17.1,24,22,31.5,13,12.3,10.1,8.2,8.8,4.5,5,2,6.1,10.6,26.1,19.2,17.1,11.3,16,26.7,43.8,43.9,45.5,45.4,31.8,8.7,26.3,13,35622043
1989:Q4,age70plus,16.9,13.9,15.3,8.9,18.7,32.4,17.2,34.5,35.1,31.1,17.9,17.4,18.2,22.2,9.9,1.5,2,12.2,11.7,12.2,3.1,3.1,1.7,4.6,8.1,16.6,10.6,19.1,13724617
1989:Q4,age55to69,32.7,26.8,27.5,24.3,36.1,33,45.7,34.3,35.5,26.5,62.1,63.8,61.4,36.7,28.7,28.2,28,42.1,34.3,25.7,13.9,13.8,13.5,12.2,24.9,29.2,28.1,35.6,19250073
1989:Q4,age40to54,33.4,35.4,35.5,35.1,32.2,22.3,26.7,23.1,20.6,37.8,15.1,16.5,14.4,30.6,35.8,51.6,52.8,34.6,38.2,35.4,39.2,39.2,39.5,37.4,35,45.2,36,32.5,24596084
1989:Q4,ageunder40,17,23.9,21.7,31.8,12.9,12.2,10.4,8.1,8.7,4.6,4.9,2.3,6,10.5,25.6,18.8,17.1,11.1,15.8,26.7,43.8,43.9,45.3,45.8,32,9,25.3,12.8,35691465
1990:Q1,age70plus,16.9,13.8,15.1,9.2,18.7,32.7,17.5,34.2,34.8,30.8,19.4,17.5,20.2,21.7,9.8,1.4,1.7,12.1,11.9,12.7,3,2.9,1.6,4.4,8.1,16.4,10.1,19.1,13824828
1990:Q1,age55to69,32.7,27,27.7,24.4,36.1,32.8,44.6,34.5,35.6,27.1,61,63.6,59.9,37.2,29.4,27.9,28,41.7,34.4,25.8,14.3,14.3,13.9,12.4,25.4,30.2,28.8,35.6,19289215
1990:Q1,age40to54,33.5,35.3,35.4,34.9,32.4,22.4,27.1,23.4,21.2,37,14.7,16.7,13.9,30.5,35.4,52.3,53.1,35.2,38,35,39.2,39.2,39.6,37.2,34.2,44.4,35.7,32.6,24635409
1990:Q1,ageunder40,16.9,23.9,21.8,31.4,12.8,12.1,10.7,7.9,8.4,5.2,4.9,2.2,6,10.6,25.3,18.3,17.3,10.9,15.6,26.5,43.5,43.6,44.8,46,32.3,9,25.4,12.8,35754318
1990:Q2,age70plus,17.1,14.4,15.7,9.6,18.7,32.9,18.3,33.9,34.4,30.8,21,18.2,22.1,21.4,9.8,1.4,1.4,12.1,12.1,12.6,2.9,2.9,1.7,4.2,8.1,15.7,10,19.4,13922138
