Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,age70plus,18.8,16.7,14.6,8.5,22.6,12.2,1.9,11.5,28.9,3.3,1.9,4.7,16.5,1.924870610274973
1989:Q3,age55to69,35.7,32.7,27.6,24.5,36.1,42.4,28,34.1,34.7,13.6,13.2,11.6,28.5,28.047505080332762
1989:Q3,age40to54,32.6,33.5,35.9,35.5,30.8,34.1,52.2,38.4,23.9,39.3,39.4,38.3,43.8,52.219470375309584
1989:Q3,ageunder40,13,17.1,22,31.5,10.6,11.3,17.8,16,12.5,43.8,45.5,45.4,11.2,17.808153934082682
1989:Q4,age70plus,19.1,16.9,15.3,8.9,22.2,12.2,1.8,11.7,29,3.1,1.7,4.6,15.7,1.8352573217433708
1989:Q4,age55to69,35.6,32.7,27.5,24.3,36.7,42.1,28.1,34.3,34.6,13.9,13.5,12.2,29,28.09800864580486
1989:Q4,age40to54,32.5,33.4,35.5,35.1,30.6,34.6,52.4,38.2,24,39.2,39.5,37.4,43.9,52.40826332466341
1989:Q4,ageunder40,12.8,17,21.7,31.8,10.5,11.1,17.7,15.8,12.4,43.8,45.3,45.8,11.4,17.658470707788368
1990:Q1,age70plus,19.1,16.9,15.1,9.2,21.7,12.1,1.6,11.9,29,3,1.6,4.4,15.5,1.609760190512644
1990:Q1,age55to69,35.6,32.7,27.7,24.4,37.2,41.7,28,34.4,34.5,14.3,13.9,12.4,29.9,27.95967256110725
1990:Q1,age40to54,32.6,33.5,35.4,34.9,30.5,35.2,52.8,38,24.2,39.2,39.6,37.2,43.2,52.811541627031524
1990:Q1,ageunder40,12.8,16.9,21.8,31.4,10.6,10.9,17.6,15.6,12.3,43.5,44.8,46,11.4,17.619025621348577
1990:Q2,age70plus,19.4,17.1,15.7,9.6,21.4,12.1,1.4,12.1,29.2,2.9,1.7,4.2,15,1.4203668364864976
1990:Q2,age55to69,35.5,32.6,27.5,24.2,37.8,41.4,27.9,34.6,34.3,14.6,14.2,12.8,30.5,27.89311336458556
1990:Q2,age40to54,32.6,33.5,35.1,34.6,30.4,35.7,53.1,37.9,24.3,39.2,39.8,36.7,43.2,53.12587891152848
1990:Q2,ageunder40,12.6,16.8,21.6,31.7,10.5,10.8,17.6,15.4,12.2,43.2,44.3,46.2,11.3,17.56064088739947
1990:Q3,age70plus,19.3,17,15.4,9.8,20.6,12.1,1.1,12.3,29.3,2.7,1.5,4.2,13.6,1.1058398944641068
1990:Q3,age55to69,35.5,32.6,27.8,24.4,38.1,41,27.6,34.7,34.2,14.9,14.4,13.3,30.6,27.574877771920868
1990:Q3,age40to54,32.7,33.6,35.1,34.6,30.5,36.3,53.8,37.8,24.4,39.3,40,36.1,44.4,53.75897245673094
1990:Q3,ageunder40,12.5,16.8,21.7,31.2,10.8,10.6,17.6,15.2,12.1,43.2,44,46.5,11.4,17.56030987688409
1990:Q4,age70plus,19.4,17.1,15.4,10,20.4,12.1,1,12.5,29.4,2.4,1.1,4,13.5,1.0438338922435386
1990:Q4,age55to69,35.5,32.7,27.9,24.4,38.7,40.6,27.6,34.8,34.1,15.2,14.6,13.7,31.4,27.56541567052288
1990:Q4,age40to54,32.8,33.7,35,34.5,30.4,36.9,54,37.7,24.7,39.2,40.2,35.5,43.8,54.0005312766864
1990:Q4,ageunder40,12.2,16.6,21.7,31,10.5,10.4,17.4,15,11.8,43.2,44.1,46.7,11.3,17.39021916054718
1991:Q1,age70plus,19.7,17.2,15.8,10.4,20.3,12,1.1,12.7,29.4,2,0.8,3.7,12.8,1.0642699326999545
1991:Q1,age55to69,35.4,32.6,27.8,24.2,39.4,40.2,27.6,34.9,33.7,15.4,14.8,13.9,31.9,27.604718633583552
1991:Q1,age40to54,32.9,33.8,34.8,34.3,30.2,37.5,54.2,37.6,25,39.4,40.4,35.5,43.6,54.16729546737839
