Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,11425459,3757600,2960788,796812,7667858,1245576,228453,738462,624615,113848,86052,24292,61760,1376247,184574,148782,410625,1528416,1627062,93607,1420865,1412730,1044504,274668,2560,90998,8134,10004594,21613571
1989:Q3,SomeCollege,4716235,1914062,1490569,423493,2802173,616389,50642,273650,231380,42270,19752,5500,14252,331093,66422,70137,108499,681527,535845,48216,760082,757116,543547,192194,847,20529,2966,3956153,18948257
1989:Q3,HS,4892872,2010716,1527888,482828,2882156,677234,73667,161206,152181,9025,39491,12634,26857,261617,71497,74774,105767,833173,528396,55334,715145,711948,462512,228657,785,19993,3196,4177727,29893093
1989:Q3,NoHS,2539622,1106671,913454,193218,1432951,417954,9881,32152,28061,4091,23918,1783,22135,86731,31206,28923,60299,434850,278323,28713,254344,252948,160127,88689,333,3799,1396,2285278,22565181
1989:Q4,College,11939980,3931228,3104588,826639,8008752,1306338,244078,768048,647969,120079,94901,31131,63770,1428532,192438,157837,440395,1602364,1675610,98211,1491907,1483261,1094075,294688,2530,91968,8646,10448072,22566796
1989:Q4,SomeCollege,4727765,1899949,1475490,424459,2827816,610609,52610,267041,225249,41792,24192,7261,16930,338102,68347,71763,110335,699778,536249,48790,767406,764376,548397,195156,793,20030,3030,3960359,19003672
1989:Q4,HS,4882822,2006587,1531940,474647,2876235,673331,70362,154946,145439,9507,40725,14739,25986,265235,73544,77233,108083,839871,517542,55363,715190,711884,461376,230330,739,19439,3306,4167632,29517846
1989:Q4,NoHS,2479129,1082328,882298,200030,1396801,410502,10186,33858,29737,4121,23287,2134,21153,86171,30727,27961,56381,422119,267430,28179,250577,249188,156267,89111,321,3489,1389,2228553,22173925
1990:Q1,College,12226486,4067358,3200972,866386,8159128,1334217,267941,808306,688990,119316,94408,28740,65668,1351976,196817,166231,450461,1663257,1721584,103929,1561291,1552790,1152048,301678,3198,95867,8500,10665195,23397816
1990:Q1,SomeCollege,4734405,1908714,1480798,427916,2825692,600123,56569,263577,224563,39015,26720,6951,19769,321968,69655,73488,107178,716401,539723,50290,771651,768662,558387,188669,944,20661,2989,3962755,19090250
1990:Q1,HS,4828889,1988973,1513502,475471,2839916,665751,68272,152581,143254,9327,38358,13136,25222,245448,74649,79739,105152,843457,509946,56562,710892,707678,468994,218861,916,18907,3214,4117997,29203961
