Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,10004594,11425459,2960788,796812,1376247,1528416,559407,1627062,2576726,1420865,1044504,274668,101693
1989:Q3,SomeCollege,3956153,4716235,1490569,423493,331093,681527,178636,535845,1075072,760082,543547,192194,24341
1989:Q3,HS,4177727,4892872,1527888,482828,261617,833173,180541,528396,1078429,715145,462512,228657,23976
1989:Q3,NoHS,2285278,2539622,913454,193218,86731,434850,89222,278323,543825,254344,160127,88689,5528
1989:Q4,College,10448072,11939980,3104588,826639,1428532,1602364,598232,1675610,2704014,1491907,1094075,294688,103144
1989:Q4,SomeCollege,3960359,4727765,1475490,424459,338102,699778,182098,536249,1071589,767406,548397,195156,23853
1989:Q4,HS,4167632,4882822,1531940,474647,265235,839871,185316,517542,1068271,715190,461376,230330,23484
1989:Q4,NoHS,2228553,2479129,882298,200030,86171,422119,84342,267430,536739,250577,156267,89111,5199
1990:Q1,College,10665195,12226486,3200972,866386,1351976,1663257,616692,1721584,2805619,1561291,1152048,301678,107565
1990:Q1,SomeCollege,3962755,4734405,1480798,427916,321968,716401,180666,539723,1066934,771651,558387,188669,24595
1990:Q1,HS,4117997,4828889,1513502,475471,245448,843457,184891,509946,1056174,710892,468994,218861,23037
1990:Q1,NoHS,2160339,2404425,854775,197356,79511,409365,78470,258028,526920,244085,155482,83112,5491
1990:Q2,College,10964003,12586619,3297399,888178,1402170,1721377,643914,1755352,2878229,1622616,1200353,313516,108747
1990:Q2,SomeCollege,3978125,4757286,1466276,430648,333738,736701,184207,544108,1061609,779161,566574,188077,24510
1990:Q2,HS,4115676,4828738,1516445,469321,253013,851748,189247,503422,1045542,713062,474600,215981,22481
1990:Q2,NoHS,2107627,2347973,824649,204365,80132,398457,74181,249281,516908,240346,153883,81138,5325
1990:Q3,College,10958042,12630106,3366575,918276,1159310,1770613,643806,1784526,2987001,1672064,1240539,326867,104658
1990:Q3,SomeCollege,3971261,4760019,1484292,432565,288507,757305,178830,550663,1067857,788758,576223,189489,23046
1990:Q3,HS,4052186,4768191,1504036,468535,206728,859849,185129,499115,1044799,716005,478404,215666,21935
1990:Q3,NoHS,2037777,2274003,803280,196871,66694,388039,67890,241515,509715,236226,151571,80279,4376
1990:Q4,College,11343580,13063852,3403562,941486,1302723,1816673,679863,1808702,3110842,1720271,1272501,339438,108332
1990:Q4,SomeCollege,4053352,4856241,1487834,435774,323753,780942,185020,559110,1083808,802889,588025,190848,24016
1990:Q4,HS,4089500,4806548,1491616,467336,235307,871645,192711,496683,1051250,717048,480246,214963,21839
1990:Q4,NoHS,1996522,2228846,777410,194524,72988,378973,64229,234550,506172,232324,148483,79143,4698
1991:Q1,College,11726343,13476971,3456181,957971,1512191,1856033,723327,1812062,3159205,1750628,1300182,339953,110493
1991:Q1,SomeCollege,4143437,4952925,1485425,441935,373622,805664,193060,566510,1086709,809489,600271,184546,24672
1991:Q1,HS,4161511,4870934,1500419,466884,277794,884378,202449,493391,1045619,709423,483068,204351,22004
1991:Q1,NoHS,1976915,2200699,753502,201038,82333,370490,60658,227495,505182,223784,145630,73356,4798
1991:Q2,College,11767530,13559013,3493640,971726,1491123,1892952,743820,1807018,3158733,1791483,1336261,345516,109706
1991:Q2,SomeCollege,4184928,5007937,1495448,445849,379532,833436,196366,574969,1082337,823009,614797,183509,24703
1991:Q2,HS,4173311,4889835,1506313,465361,278377,900759,207295,491166,1040564,716524,493700,201273,21551
1991:Q2,NoHS,1932328,2153252,733379,200771,81145,363156,56447,220933,497421,220924,145355,71008,4561
1991:Q3,College,11946792,13765036,3520755,991137,1587981,1925401,777799,1789625,3172338,1818244,1352336,349531,116377
1991:Q3,SomeCollege,4289261,5120120,1525360,450179,411042,863093,203691,583665,1083090,830859,620568,183246,27045
1991:Q3,HS,4226335,4946078,1508512,468164,302934,919165,216402,489241,1041660,719743,498208,200228,21307
1991:Q3,NoHS,1897283,2115114,719026,193963,85634,356505,52735,214605,492646,217831,142856,69495,5480
1991:Q4,College,12317925,14179472,3563870,1000093,1871291,1954411,817276,1766268,3206263,1861547,1379909,357515,124123
1991:Q4,SomeCollege,4429590,5279878,1547463,455081,481582,895003,213323,593578,1093848,850288,634520,185951,29817
1991:Q4,HS,4335607,5069674,1529982,468167,365253,940090,227922,488454,1049805,734067,510160,202639,21268
1991:Q4,NoHS,1878895,2097710,705285,194048,98402,350586,49227,208726,491437,218815,142767,69476,6572
1992:Q1,College,12279363,14153315,3616607,1002920,1811783,1990599,822837,1751091,3157478,1873952,1400294,351741,121917
1992:Q1,SomeCollege,4502116,5354523,1564699,461525,486931,934452,214136,607043,1085737,852407,642226,180492,29689
1992:Q1,HS,4391717,5131704,1565724,467801,363701,970513,230947,490769,1042248,739987,522509,195848,21630
1992:Q1,NoHS,1851165,2065286,692238,199849,96555,346884,44644,203778,481339,214121,142693,65272,6156
1992:Q2,College,12236434,14129796,3628602,1008294,1791834,2019055,841204,1726323,3114483,1893361,1414127,352772,126462
1992:Q2,SomeCollege,4586897,5450029,1579023,469412,501777,974059,219681,620860,1085217,863132,651273,180120,31739
1992:Q2,HS,4460773,5211442,1589089,470760,371308,1002995,238733,493343,1045213,750669,533325,195540,21804
1992:Q2,NoHS,1837397,2050087,676496,204612,96729,352388,40719,198937,480206,212690,141970,63900,6820
1992:Q3,College,12353275,14272525,3650304,1022916,1853891,2043913,870144,1709674,3121683,1919250,1434704,358405,126141
1992:Q3,SomeCollege,4731787,5617115,1632038,475158,535556,1015433,228492,638029,1092409,885328,670416,182418,32494
1992:Q3,HS,4560707,5328097,1610040,477629,396954,1037367,250054,498694,1057359,767390,547908,197559,21923
1992:Q3,NoHS,1824212,2036827,671605,195840,100711,358241,36931,194811,478688,212616,142299,63551,6766
1992:Q4,College,12660562,14595726,3665132,1018992,2102860,2083693,890237,1701543,3133268,1935164,1447334,360273,127557
1992:Q4,SomeCollege,4861271,5767139,1662133,487722,598817,1039684,241995,637859,1098929,905868,681756,192555,31557
1992:Q4,HS,4700780,5495451,1646387,491046,448889,1073819,265098,498734,1071477,794670,566121,205432,23117
1992:Q4,NoHS,1860804,2078944,682985,195494,109200,370377,41331,198118,481439,218140,145143,66508,6489
1993:Q1,College,12780689,14706565,3663540,993077,2177867,2102369,921331,1729805,3118577,1925876,1443432,348159,134285
1993:Q1,SomeCollege,4917395,5829437,1636339,502366,628156,1055010,258268,644733,1104565,912042,686637,193007,32398
1993:Q1,HS,4825566,5629789,1699713,496404,467282,1099208,283138,505176,1078868,804223,578232,201671,24320
1993:Q1,NoHS,1898551,2115915,681332,214553,110612,380044,45565,203135,480673,217364,145887,64424,7053
1993:Q2,College,12829721,14767389,3674443,992727,2211308,2119444,932637,1744417,3092413,1937667,1456827,345946,134894
1993:Q2,SomeCollege,5009337,5943258,1676265,516832,650253,1071258,269435,649575,1109639,933920,701847,200703,31370
1993:Q2,HS,4923202,5754555,1740327,513808,478438,1126399,296226,510383,1088974,831354,599725,206176,25453
1993:Q2,NoHS,1928833,2150797,696056,212885,110558,390015,49334,207971,483977,221964,149429,65838,6697
1993:Q3,College,12963279,14920522,3680878,993830,2311996,2136251,948759,1764576,3084232,1957243,1466477,347991,142775
1993:Q3,SomeCollege,5123970,6087679,1723515,531039,688170,1088694,282905,655580,1117776,963709,719168,211726,32815
1993:Q3,HS,5043471,5904216,1779587,532084,504609,1155789,311501,517043,1103603,860745,619981,214263,26501
1993:Q3,NoHS,1960441,2188985,712320,208926,113406,400357,53336,213279,487361,228544,152390,68688,7466
1993:Q4,College,13136811,15111788,3697459,990243,2418227,2150050,953615,1789093,3113101,1974977,1471968,354622,148387
1993:Q4,SomeCollege,5232754,6226652,1754723,548070,728783,1105236,292085,662318,1135437,993897,732296,228047,33554
1993:Q4,HS,5175392,6072008,1832862,550233,533103,1184787,323007,524798,1123218,896616,639808,229229,27579
1993:Q4,NoHS,1994997,2232272,726213,213532,116587,410514,56599,218960,489866,237275,155106,74271,7898
1994:Q1,College,13121894,15091432,3708337,974203,2290403,2162938,949594,1829250,3176707,1969538,1471233,347867,150438
1994:Q1,SomeCollege,5271198,6281866,1755267,564193,717151,1121480,298210,671656,1153910,1010668,745014,232539,33115
1994:Q1,HS,5284177,6199588,1895822,562052,512312,1214196,331727,535195,1148284,915410,656492,229659,29259
1994:Q1,NoHS,2026434,2264784,733717,225590,110480,420634,59446,225347,489571,238350,156730,73812,7808
1994:Q2,College,13119548,15102280,3718478,970211,2222491,2175395,957955,1866946,3190804,1982732,1478690,351114,152928
1994:Q2,SomeCollege,5330841,6368186,1783221,580533,717651,1137082,307591,680014,1162094,1037344,757586,246892,32866
1994:Q2,HS,5380552,6332384,1949025,579479,503805,1243609,343829,545258,1167379,951832,678467,242299,31066
1994:Q2,NoHS,2049940,2295878,746842,229324,106786,430608,62317,231714,488286,245938,159879,78276,7783
1994:Q3,College,13225747,15222206,3716246,974020,2254357,2190762,978386,1889216,3219219,1996458,1486840,356347,153271
1994:Q3,SomeCollege,5434455,6500157,1827512,596121,741336,1153417,321724,684633,1175415,1065702,770807,263146,31749
1994:Q3,HS,5492988,6483064,1988402,599833,516759,1274760,360347,552709,1190254,990076,700477,256982,32617
1994:Q3,NoHS,2077431,2331249,761940,226525,107101,440747,65767,237527,491643,253818,162925,83478,7415
