Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,48.5,42.8,43,42,51.9,42.1,63,61.3,60.3,67.3,50.9,54.9,49.4,66.9,52.2,46.1,59.9,43.9,54.8,41.4,45.1,45.1,47.2,35,56.6,67.2,51.8,49,21613571
1989:Q3,SomeCollege,20,21.8,21.6,22.3,19,20.8,14,22.7,22.3,25,11.7,12.4,11.4,16.1,18.8,21.7,15.8,19.6,18,21.3,24.1,24.2,24.6,24.5,18.7,15.2,18.9,19.4,18948257
1989:Q3,HS,20.8,22.9,22.2,25.5,19.5,22.9,20.3,13.4,14.7,5.3,23.3,28.6,21.5,12.7,20.2,23.2,15.4,24,17.8,24.5,22.7,22.7,20.9,29.2,17.4,14.8,20.4,20.5,29893093
1989:Q3,NoHS,10.8,12.6,13.3,10.2,9.7,14.1,2.7,2.7,2.7,2.4,14.1,4,17.7,4.2,8.8,9,8.8,12.5,9.4,12.7,8.1,8.1,7.2,11.3,7.4,2.8,8.9,11.2,22565181
1989:Q4,College,49.7,44.1,44.4,42.9,53,43.5,64.7,62.8,61.8,68.4,51.8,56.3,49.9,67.4,52.7,47.1,61.6,45,55.9,42.6,46.3,46.2,48.4,36.4,57.7,68.2,52.8,50.2,22566796
1989:Q4,SomeCollege,19.7,21.3,21.1,22,18.7,20.3,13.9,21.8,21.5,23.8,13.2,13.1,13.2,16,18.7,21.4,15.4,19.6,17.9,21.2,23.8,23.8,24.3,24.1,18.1,14.8,18.5,19,19003672
1989:Q4,HS,20.3,22.5,21.9,24.6,19,22.4,18.7,12.7,13.9,5.4,22.2,26.7,20.3,12.5,20.1,23.1,15.1,23.6,17.3,24,22.2,22.2,20.4,28.5,16.9,14.4,20.2,20,29517846
1989:Q4,NoHS,10.3,12.1,12.6,10.4,9.2,13.7,2.7,2.8,2.8,2.3,12.7,3.9,16.5,4.1,8.4,8.4,7.9,11.8,8.9,12.2,7.8,7.8,6.9,11,7.3,2.6,8.5,10.7,22173925
1990:Q1,College,50.5,45.1,45.4,44,53.8,44.5,66.4,64.2,63.4,69.5,51.9,56.7,50.1,67.6,53,48,63.1,45.8,56.8,43.5,47.5,47.5,49.3,38.1,58.7,68.9,53.1,51,23397816
1990:Q1,SomeCollege,19.6,21.2,21,21.8,18.6,20,14,20.9,20.7,22.7,14.7,13.7,15.1,16.1,18.8,21.2,15,19.7,17.8,21,23.5,23.5,23.9,23.8,17.3,14.8,18.7,19,19090250
1990:Q1,HS,20,22.1,21.5,24.2,18.7,22.2,16.9,12.1,13.2,5.4,21.1,25.9,19.2,12.3,20.1,23,14.7,23.2,16.8,23.7,21.6,21.6,20.1,27.6,16.8,13.6,20.1,19.7,29203961
1990:Q1,NoHS,9.9,11.7,12.1,10,8.9,13.4,2.7,2.7,2.8,2.3,12.3,3.7,15.6,4,8.1,7.8,7.2,11.3,8.5,11.8,7.4,7.4,6.7,10.5,7.2,2.7,8.2,10.3,21811742
1990:Q2,College,51.3,46,46.4,44.6,54.5,45.2,67.1,65.5,64.8,70.3,52.1,57.1,50.1,67.8,53.2,48.5,64.4,46.4,57.5,44.3,48.4,48.3,50.1,39.3,59.4,69.4,53.3,51.8,24112997
1990:Q2,SomeCollege,19.4,20.9,20.6,21.6,18.5,19.7,14,20.2,19.9,21.8,16.3,14.4,17,16.1,18.9,21.2,14.7,19.9,17.8,21,23.2,23.2,23.7,23.5,17,14.8,18.7,18.8,19205981
1990:Q2,HS,19.7,21.8,21.3,23.6,18.4,22,16.2,11.6,12.6,5.6,20.2,24.9,18.4,12.2,20.2,23,14.4,23,16.5,23.3,21.3,21.3,19.8,27,16.3,13.2,20.1,19.4,28948483
1990:Q2,NoHS,9.6,11.3,11.6,10.3,8.6,13.1,2.7,2.7,2.7,2.3,11.4,3.6,14.5,3.9,7.8,7.3,6.5,10.7,8.2,11.4,7.2,7.2,6.4,10.2,7.3,2.7,7.9,10,21477376
1990:Q3,College,51.7,46.7,47,45.5,54.7,45.9,68.3,66.8,66.1,71.1,52,57.4,49.9,67.4,53.2,49.1,65.6,46.9,58,44.9,49,49,50.7,40.2,60,69.8,53.4,52.1,24718702
1990:Q3,SomeCollege,19.5,20.9,20.7,21.5,18.6,19.4,14.2,19.4,19.2,20.9,17.9,15.3,19,16.8,19.1,21,14.3,20.1,17.9,21,23.1,23.1,23.6,23.3,17,14.5,18.9,18.9,19348855
1990:Q3,HS,19.5,21.5,21,23.2,18.3,21.9,14.9,11.2,12,5.7,19.4,23.8,17.6,12,20.3,23,14.1,22.8,16.2,23.1,21,21,19.6,26.6,15.4,13.5,20.1,19.3,28748455
1990:Q3,NoHS,9.3,10.9,11.2,9.8,8.3,12.8,2.7,2.6,2.6,2.3,10.7,3.5,13.6,3.9,7.5,6.9,6,10.3,7.9,11,6.9,6.9,6.2,9.9,7.6,2.2,7.6,9.7,21169575
1990:Q4,College,52.3,47.2,47.5,46.2,55.3,46.6,69.1,67.9,67.3,71.4,52.1,57.8,49.5,67.3,53,49.4,66.4,47.2,58.4,45.4,49.5,49.5,51.1,41.2,60.5,70,53.5,52.8,25221297
1990:Q4,SomeCollege,19.5,20.9,20.8,21.4,18.6,19.2,14.3,18.8,18.6,20.3,19.5,16.3,21,16.7,19.3,21,14.2,20.3,18,21,23.1,23.1,23.6,23.2,16.5,14.7,18.9,18.9,19516860
1990:Q4,HS,19.3,21.3,20.8,22.9,18.1,21.7,14,10.8,11.5,6.2,18.6,22.5,16.9,12.2,20.4,23.1,14.1,22.7,16,22.9,20.6,20.7,19.3,26.1,15.3,13,20.2,19,28600922
1990:Q4,NoHS,8.9,10.6,10.9,9.5,8,12.5,2.6,2.5,2.6,2.2,9.7,3.4,12.7,3.8,7.3,6.5,5.3,9.8,7.6,10.7,6.7,6.7,6,9.6,7.7,2.4,7.4,9.3,20887085
1991:Q1,College,52.8,47.7,48,46.3,55.8,46.9,70.3,68.3,67.6,71.8,51.5,57.5,48.8,67.3,52.7,49.7,67.1,47.4,58.5,45.7,50.1,50.1,51.4,42.4,60.8,70.1,53.2,53.3,25627145
1991:Q1,SomeCollege,19.4,20.8,20.6,21.4,18.6,19,14.6,18.5,18.3,19.6,21.4,17.4,23.3,16.6,19.6,20.9,14.1,20.6,18.3,21.1,23.2,23.2,23.7,23,15.8,14.8,19.2,18.8,19707987
1991:Q1,HS,19.1,21.2,20.9,22.6,17.9,21.7,12.4,10.3,11,6.5,18.1,21.9,16.4,12.4,20.6,23.3,14.1,22.6,15.9,22.7,20.3,20.3,19.1,25.5,15.8,12.7,20.4,18.9,28502927
