Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,College,49,48.5,43,42,66.9,43.9,55.5,54.8,48.9,45.1,47.2,35,65.4,55.5074091640653
1989:Q3,SomeCollege,19.4,20,21.6,22.3,16.1,19.6,17.7,18,20.4,24.1,24.6,24.5,15.6,17.725236801527277
1989:Q3,HS,20.5,20.8,22.2,25.5,12.7,24,17.9,17.8,20.4,22.7,20.9,29.2,15.4,17.91426127647583
1989:Q3,NoHS,11.2,10.8,13.3,10.2,4.2,12.5,8.9,9.4,10.3,8.1,7.2,11.3,3.6,8.853092757931586
1989:Q4,College,50.2,49.7,44.4,42.9,67.4,45,57,55.9,50.3,46.3,48.4,36.4,66.3,56.97512733478859
1989:Q4,SomeCollege,19,19.7,21.1,22,16,19.6,17.3,17.9,19.9,23.8,24.3,24.1,15.3,17.342864870836618
1989:Q4,HS,20,20.3,21.9,24.6,12.5,23.6,17.6,17.3,19.9,22.2,20.4,28.5,15.1,17.649344563937873
1989:Q4,NoHS,10.7,10.3,12.6,10.4,4.1,11.8,8,8.9,10,7.8,6.9,11,3.3,8.032663230436919
1990:Q1,College,51,50.5,45.4,44,67.6,45.8,58.1,56.8,51.4,47.5,49.3,38.1,66.9,58.13905473551431
1990:Q1,SomeCollege,19,19.6,21,21.8,16.1,19.7,17,17.8,19.6,23.5,23.9,23.8,15.3,17.03240914888863
1990:Q1,HS,19.7,20,21.5,24.2,12.3,23.2,17.4,16.8,19.4,21.6,20.1,27.6,14.3,17.43072387691745
1990:Q1,NoHS,10.3,9.9,12.1,10,4,11.3,7.4,8.5,9.7,7.4,6.7,10.5,3.4,7.397812238679613
1990:Q2,College,51.8,51.3,46.4,44.6,67.8,46.4,59,57.5,52.3,48.4,50.1,39.3,67.5,58.99084695235853
1990:Q2,SomeCollege,18.8,19.4,20.6,21.6,16.1,19.9,16.9,17.8,19.3,23.2,23.7,23.5,15.2,16.875742637298004
1990:Q2,HS,19.4,19.7,21.3,23.6,12.2,23,17.3,16.5,19,21.3,19.8,27,14,17.337471794669774
1990:Q2,NoHS,10,9.6,11.6,10.3,3.9,10.7,6.8,8.2,9.4,7.2,6.4,10.2,3.3,6.795938615673689
1990:Q3,College,52.1,51.7,47,45.5,67.4,46.9,59.9,58,53.3,49,50.7,40.2,68,59.85246198827691
1990:Q3,SomeCollege,18.9,19.5,20.7,21.5,16.8,20.1,16.6,17.9,19,23.1,23.6,23.3,15,16.62521905257727
1990:Q3,HS,19.3,19.5,21,23.2,12,22.8,17.2,16.2,18.6,21,19.6,26.6,14.2,17.210815735528584
1990:Q3,NoHS,9.7,9.3,11.2,9.8,3.9,10.3,6.3,7.9,9.1,6.9,6.2,9.9,2.8,6.311503223617238
1990:Q4,College,52.8,52.3,47.5,46.2,67.3,47.2,60.6,58.4,54.1,49.5,51.1,41.2,68.2,60.60341069847917
1990:Q4,SomeCollege,18.9,19.5,20.8,21.4,16.7,20.3,16.5,18,18.8,23.1,23.6,23.2,15.1,16.49279788344507
1990:Q4,HS,19,19.3,20.8,22.9,12.2,22.7,17.2,16,18.3,20.6,19.3,26.1,13.7,17.17837840728885
1990:Q4,NoHS,9.3,8.9,10.9,9.5,3.8,9.8,5.7,7.6,8.8,6.7,6,9.6,3,5.725413010786907
1991:Q1,College,53.3,52.8,48,46.3,67.3,47.4,61.3,58.5,54.5,50.1,51.4,42.4,68.2,61.325195380391925
1991:Q1,SomeCollege,18.8,19.4,20.6,21.4,16.6,20.6,16.4,18.3,18.7,23.2,23.7,23,15.2,16.36803578483655
1991:Q1,HS,18.9,19.1,20.9,22.6,12.4,22.6,17.2,15.9,18,20.3,19.1,25.5,13.6,17.164055094811843
1991:Q1,NoHS,9,8.6,10.5,9.7,3.7,9.5,5.1,7.3,8.7,6.4,5.8,9.1,3,5.142713739959678
1991:Q2,College,53.3,52.9,48.3,46.6,66.9,47.4,61.8,58.4,54.7,50.4,51.6,43.1,68.3,61.782764417805716
1991:Q2,SomeCollege,19,19.6,20.7,21.4,17,20.9,16.3,18.6,18.7,23.2,23.7,22.9,15.4,16.310443813915782
1991:Q2,HS,18.9,19.1,20.8,22.3,12.5,22.6,17.2,15.9,18,20.2,19.1,25.1,13.4,17.21822235216724
