Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17310527,5648646,4587825,1060821,11661881,2433986,309879,1007776,883051,124725,157305,42778,114527,1679010,215527,223619,454999,2846816,2194783,138180,1265761,1256248,831770,308971,2351,113157,9513,16044766,48553376
1989:Q3,BabyBoom,6131412,3050969,2260758,790210,3080443,510532,52391,192078,147897,44180,11909,1432,10477,372852,135365,98854,228962,630018,762797,84685,1830923,1824868,1354982,445770,2168,21948,6055,4300489,39289625
1989:Q3,GenX,132249,89434,44116,45319,42814,12635,374,5616,5288,329,0,0,0,3827,2807,143,1229,1131,12046,3006,53752,53626,23938,29466,7,214,126,78497,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17568100,5728011,4661620,1066391,11840089,2433733,316682,1025575,895179,130396,170031,52621,117410,1726237,221839,229062,473205,2891400,2211824,140500,1289380,1279522,848284,317256,2295,111688,9858,16278720,48581894
1989:Q4,BabyBoom,6293737,3079175,2270419,808757,3214562,549783,59922,192174,147569,44605,13066,2636,10430,387874,139653,105217,239789,669751,770664,86670,1876306,1869994,1386801,458084,2078,23031,6313,4417431,39314788
1989:Q4,GenX,167859,112906,62279,50627,54953,17265,633,6143,5645,498,8,8,0,3930,3564,514,2200,2982,14342,3372,59394,59193,25030,33946,10,208,200,108465,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17634424,5757490,4668461,1089029,11876935,2421414,331161,1046891,919051,127841,168952,48304,120649,1663583,225649,234274,477704,2931799,2230530,144978,1308240,1298568,875089,306519,2877,114082,9673,16326184,48563738
1990:Q1,BabyBoom,6383671,3142660,2319672,822988,3241010,559865,71313,204856,161735,43121,12818,2416,10401,335319,141398,111366,235620,696878,781480,90097,1912242,1906096,1429493,449166,2556,24881,6146,4471428,39352975
1990:Q1,GenX,176110,117026,61914,55112,59084,20037,1185,6990,6325,665,0,0,0,0,4074,879,876,3803,17271,3969,67437,67245,30330,36634,17,263,192,108673,5588047
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,17814525,5804315,4713846,1090469,12010209,2409488,317926,1075149,942202,132946,172754,49546,123209,1715518,230131,241635,485742,2972888,2243723,145255,1330398,1320729,898287,306061,2354,114027,9669,16484127,48501341
1990:Q2,BabyBoom,6497167,3152582,2311920,840661,3344585,571975,70184,219975,176667,43309,13188,2842,10345,353535,144155,126011,235672,730179,788666,91045,1948080,1941943,1461605,451982,2053,26303,6137,4549087,39403449
1990:Q2,GenX,208924,140383,79003,61380,68542,23213,844,7990,7097,893,0,0,0,0,4753,2405,83,5215,19774,4263,76707,76491,35519,40670,18,284,216,132217,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,17705488,5814028,4707259,1106770,11891459,2399974,329422,1104287,971000,133287,177826,51887,125939,1505451,233632,244848,480496,3011737,2256476,147311,1342093,1332463,914328,308112,1022,109002,9629,16363395,48397137
1990:Q3,BabyBoom,6507760,3220170,2375151,845019,3287589,591265,80784,243772,201354,42417,13771,3473,10298,215789,146052,126059,222234,757921,796737,93204,1986320,1980215,1493998,458428,875,26913,6106,4521439,39465470
1990:Q3,GenX,219073,140230,75773,64457,78842,27268,1376,9284,8147,1137,0,0,0,0,5377,2019,0,6150,22605,4764,84641,84404,38411,45762,10,221,237,134432,6124565
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17979720,5806809,4690318,1116490,12172912,2397356,330033,1152770,993561,159210,188067,59739,128329,1648846,237170,249605,500967,3050750,2268230,149117,1353003,1343154,922097,308713,1149,111195,9849,16626717,48253559
1990:Q4,BabyBoom,6738407,3248123,2394539,853585,3490283,629063,86423,266172,219785,46387,15347,5107,10239,285924,148237,132500,236229,789944,805123,95321,2029472,2023175,1529276,464115,964,28821,6297,4708934,39538300
1990:Q4,GenX,237360,144611,75566,69045,92749,33290,1550,10755,9175,1580,5,5,0,0,6092,2524,0,7540,25692,5301,90058,89745,37881,51564,14,286,313,147302,6436037
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,18291973,5830798,4711738,1119060,12461175,2385862,356012,1155930,987375,168555,187585,58060,129525,1847210,240656,253115,528389,3088359,2268873,149183,1347074,1337315,929665,294421,2026,111202,9760,16944898,48073042
1991:Q1,BabyBoom,6937860,3265357,2393547,871810,3672502,646174,105937,241964,195125,46839,15441,5302,10139,398731,150607,134524,259508,819490,803658,96468,2052685,2046445,1561843,452543,1660,30400,6239,4885175,39621201
1991:Q1,GenX,271697,167202,90243,76959,104495,37985,2921,11378,9383,1995,0,0,0,0,6892,2381,1576,8715,26927,5720,93564,93232,37644,55243,30,315,332,178133,6774250
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,18332436,5835691,4714264,1121428,12496745,2358326,338888,1183711,1005546,178165,187169,55730,131439,1845376,244848,257328,538874,3126146,2266618,149462,1359655,1350036,949048,289403,609,110976,9619,16972781,47858018
1991:Q2,BabyBoom,6986850,3296854,2416972,879882,3689996,623148,102391,255063,207925,47139,15459,5391,10068,384802,154059,139851,263799,853713,799861,97849,2087230,2081086,1597136,451472,489,31989,6144,4899620,39713433
1991:Q2,GenX,290751,179942,97545,82397,110809,39273,2336,12943,10461,2483,0,0,0,0,7921,2741,1337,10444,27607,6208,105055,104714,43929,60431,11,342,341,185696,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,18473089,5830797,4696992,1133805,12642292,2338958,332406,1188873,1021450,167423,196905,64733,132172,1946352,247200,261157,558370,3163214,2259192,149667,1376686,1367211,962751,285816,503,118141,9475,17096403,47610922
1991:Q3,BabyBoom,7173139,3367101,2483789,883312,3806038,621164,104684,262272,218326,43946,17857,7900,9957,441239,155576,144099,280253,888628,790980,99285,2093832,2087783,1601384,451249,393,34756,6050,5079307,39814259
1991:Q3,GenX,300120,179198,92872,86326,120922,42712,2243,14472,11585,2887,1,1,0,0,8722,2931,3818,12322,26964,6736,116159,115808,49833,65435,11,530,350,183961,7524699
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,18800267,5849002,4714669,1134333,12951265,2326257,330138,1197073,1030713,166361,212465,81912,130554,2188170,250301,265067,580585,3199846,2250618,150744,1403921,1394549,981337,286341,988,125883,9373,17396346,47334187
1991:Q4,BabyBoom,7477040,3418281,2527347,890934,4058759,638300,109396,259838,217547,42291,23255,13484,9770,610981,158217,149229,301740,925704,780732,101368,2128905,2122910,1627616,456893,748,37654,5994,5348136,39922939
1991:Q4,GenX,349427,196706,104584,92122,152721,48406,2364,15977,12540,3437,65,65,0,17378,9766,3275,7852,14540,25676,7423,131891,131521,58404,72348,26,743,370,217536,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,18835817,5882726,4754618,1128108,12953092,2279076,339113,1225415,1050565,174850,197245,68000,129246,2166001,253351,268287,584780,3239147,2248915,151761,1410227,1400925,1004527,273079,1173,122146,9302,17425591,47030247
