Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16044766,17310527,4587825,1060821,1679010,2846816,678618,2194783,4262654,1265761,831770,308971,125020
1989:Q3,BabyBoom,4300489,6131412,2260758,790210,372852,630018,327816,762797,986960,1830923,1354982,445770,30171
1989:Q3,GenX,78497,132249,44116,45319,3827,1131,1372,12046,24438,53752,23938,29466,348
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16278720,17568100,4661620,1066391,1726237,2891400,702267,2211824,4308361,1289380,848284,317256,123840
1989:Q4,BabyBoom,4417431,6293737,2270419,808757,387874,669751,345006,770664,1041267,1876306,1386801,458084,31421
1989:Q4,GenX,108465,167859,62279,50627,3930,2982,2714,14342,30985,59394,25030,33946,418
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16326184,17634424,4668461,1089029,1663583,2931799,711978,2230530,4339045,1308240,875089,306519,126632
1990:Q1,BabyBoom,4471428,6383671,2319672,822988,335319,696878,346986,781480,1080347,1912242,1429493,449166,33583
1990:Q1,GenX,108673,176110,61914,55112,0,3803,1755,17271,36255,67437,30330,36634,473
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16484127,17814525,4713846,1090469,1715518,2972888,727377,2243723,4350703,1330398,898287,306061,126050
1990:Q2,BabyBoom,4549087,6497167,2311920,840661,353535,730179,361683,788666,1110522,1948080,1461605,451982,34493
1990:Q2,GenX,132217,208924,79003,61380,0,5215,2488,19774,41065,76707,35519,40670,518
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16363395,17705488,4707259,1106770,1505451,3011737,725344,2256476,4392451,1342093,914328,308112,119653
1990:Q3,BabyBoom,4521439,6507760,2375151,845019,215789,757921,348293,796737,1168849,1986320,1493998,458428,33894
1990:Q3,GenX,134432,219073,75773,64457,0,6150,2019,22605,48068,84641,38411,45762,468
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,16626717,17979720,4690318,1116490,1648846,3050750,750572,2268230,4454514,1353003,922097,308713,122193
1990:Q4,BabyBoom,4708934,6738407,2394539,853585,285924,789944,368729,805123,1240563,2029472,1529276,464115,36081
1990:Q4,GenX,147302,237360,75566,69045,0,7540,2524,25692,56993,90058,37881,51564,613
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,16944898,18291973,4711738,1119060,1847210,3088359,781504,2268873,4475229,1347074,929665,294421,122988
1991:Q1,BabyBoom,4885175,6937860,2393547,871810,398731,819490,394032,803658,1256591,2052685,1561843,452543,38299
1991:Q1,GenX,178133,271697,90243,76959,0,8715,3957,26927,64896,93564,37644,55243,677
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,16972781,18332436,4714264,1121428,1845376,3126146,796202,2266618,4462403,1359655,949048,289403,121204
1991:Q2,BabyBoom,4899620,6986850,2416972,879882,384802,853713,403650,799861,1247970,2087230,1597136,451472,38622
1991:Q2,GenX,185696,290751,97545,82397,0,10444,4078,27607,68680,105055,43929,60431,695
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,17096403,18473089,4696992,1133805,1946352,3163214,819527,2259192,4454007,1376686,962751,285816,128119
1991:Q3,BabyBoom,5079307,7173139,2483789,883312,441239,888628,424352,790980,1260839,2093832,1601384,451249,41199
1991:Q3,GenX,183961,300120,92872,86326,0,12322,6749,26964,74887,116159,49833,65435,891
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,17396346,18800267,4714669,1134333,2188170,3199846,845652,2250618,4466979,1403921,981337,286341,136243
1991:Q4,BabyBoom,5348136,7477040,2527347,890934,610981,925704,450969,780732,1290373,2128905,1627616,456893,44396
1991:Q4,GenX,217536,349427,104584,92122,17378,14540,11127,25676,84000,131891,58404,72348,1139
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,17425591,18835817,4754618,1128108,2166001,3239147,853067,2248915,4445962,1410227,1004527,273079,132621
1992:Q1,BabyBoom,5369622,7490382,2555233,903707,582313,983656,450516,777820,1237138,2120760,1630316,444833,45611
1992:Q1,GenX,229149,378628,129418,100280,10657,19646,8981,25946,83701,149479,72879,75442,1158
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,17448428,18874773,4758014,1126492,2176053,3281865,867376,2243788,4421184,1426345,1021093,268050,137202
1992:Q2,BabyBoom,5429875,7556353,2570842,917427,578536,1041120,463175,770813,1214440,2126479,1634995,443240,48244
1992:Q2,GenX,243199,410228,144354,109159,7060,25514,9786,24861,89494,167029,84607,81042,1380
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,17562207,18998103,4747607,1140265,2248277,3323393,887580,2244876,4406104,1435896,1033619,266002,136275
1992:Q3,BabyBoom,5657123,7822343,2677039,918580,626902,1099606,484722,770822,1244672,2165220,1668868,446781,49571
1992:Q3,GenX,250651,434118,139342,112696,11932,31955,13320,25510,99363,183467,92840,89149,1478
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,17765413,19199497,4741146,1144337,2446337,3343714,888412,2236167,4399384,1434084,1031778,266665,135641
1992:Q4,BabyBoom,6025283,8237789,2759508,926421,779502,1183106,531619,779517,1278116,2212506,1700523,460492,51491
1992:Q4,GenX,292720,499974,155983,122496,33927,40753,18630,20572,107612,207253,108052,97612,1589
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,17907549,19323250,4762014,1118322,2519230,3358788,896131,2246475,4422290,1415701,1022314,251984,141403
1993:Q1,BabyBoom,6144034,8365000,2705866,947783,826956,1233159,585079,813315,1252843,2220967,1712007,454221,54739
1993:Q1,GenX,370618,593457,213045,140295,37731,44684,27090,23059,107552,222838,119867,101056,1915
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,17975312,19382820,4750844,1127653,2563403,3373728,894093,2250091,4423008,1407508,1019632,247838,140038
1993:Q2,BabyBoom,6331572,8601348,2807018,957060,850329,1284457,622718,839543,1240223,2269776,1751441,461984,56351
1993:Q2,GenX,384209,631830,229229,151539,36825,48931,30819,22711,111776,247621,136755,108840,2026
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,18085682,19492545,4732116,1139506,2655826,3388811,894226,2256367,4425693,1406864,1011487,247913,147464
1993:Q3,BabyBoom,6597830,8930496,2924347,964516,917595,1338495,665803,870466,1249275,2332666,1797278,475729,59659
1993:Q3,GenX,407649,678361,239838,161857,44759,53785,36472,23646,118004,270712,149252,119026,2434
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,18244304,19656448,4735872,1143210,2752233,3403487,890472,2264403,4466771,1412144,1004830,255103,152211
1993:Q4,BabyBoom,6845795,9236342,3003433,981130,990178,1388987,696255,905063,1271296,2390547,1829056,499056,62435
1993:Q4,GenX,449855,749929,271952,177738,54289,58113,38577,25702,123558,300074,165292,132010,2772
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,18263039,19653448,4752853,1129938,2685753,3418279,883047,2278709,4504869,1390408,992346,245647,152415
1994:Q1,BabyBoom,6941246,9367388,3011740,999482,914051,1438620,718183,950603,1334709,2426141,1861561,499430,65150
1994:Q1,GenX,499418,816834,328550,196616,30541,62349,37747,32134,128897,317416,175562,138799,3055
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,18282370,19672912,4750125,1132445,2661933,3433366,882931,2291097,4521014,1390541,988091,249343,153107
1994:Q2,BabyBoom,7084942,9561584,3084448,1014202,875347,1486952,748336,994670,1357630,2476643,1890426,518079,68138
1994:Q2,GenX,513569,864232,362993,212901,13453,66376,40425,38166,129918,350663,196105,151158,3400
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,18358846,19747947,4723450,1145345,2708191,3449366,887722,2296561,4537313,1389101,982880,254967,151254
1994:Q3,BabyBoom,7348463,9880408,3195664,1024945,900824,1539064,790851,1028089,1400971,2531945,1922018,539732,70195
1994:Q3,GenX,523312,908320,374985,226209,10539,71255,47653,39435,138244,385009,216151,165254,3604
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,18395428,19800415,4701151,1148996,2702161,3465792,876328,2306224,4599763,1404987,978743,267107,159137
1994:Q4,BabyBoom,7525143,10118958,3267540,1034927,878210,1585695,796527,1068855,1487205,2593815,1948405,570886,74524
1994:Q4,GenX,518226,944492,397674,240240,0,75013,40906,43990,146669,426267,238792,183175,4300
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,18573287,19956048,4681133,1152354,2824273,3483860,887479,2313114,4613834,1382761,967706,259604,155451
1995:Q1,BabyBoom,7814635,10436700,3317662,1050229,973100,1641540,850481,1104512,1499176,2622066,1971945,573443,76678
1995:Q1,GenX,581268,1029577,426142,258116,9215,80948,53162,45975,156019,448309,252275,191499,4535
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,18719366,20098308,4639970,1167268,2951823,3503203,898268,2318057,4619720,1378942,959058,263490,156394
1995:Q2,BabyBoom,8186612,10871894,3455824,1051543,1076717,1703633,911135,1135480,1537562,2685282,2012445,592675,80162
1995:Q2,GenX,602243,1081083,418218,265508,26764,88166,68184,45254,168989,478840,266799,206961,5080
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,18845655,20236687,4543712,1175465,3104062,3523823,914025,2327484,4648116,1391032,955591,270059,165382
1995:Q3,BabyBoom,8462749,11207805,3483254,1054634,1205777,1761341,975489,1173706,1553605,2745057,2044548,615635,84874
1995:Q3,GenX,597170,1116716,386171,274890,52685,94604,86632,48250,173483,519546,289632,223905,6009
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,19109559,20511759,4559198,1176713,3270312,3541995,930592,2324098,4708851,1402200,952693,286175,163332
1995:Q4,BabyBoom,8810637,11611023,3524915,1069168,1349009,1814277,1029670,1219517,1604467,2800386,2072006,637640,90740
1995:Q4,GenX,669755,1215906,409064,283373,81861,103829,93262,58995,185521,546151,295226,244345,6580
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,19291993,20705184,4591412,1178126,3375767,3561505,946246,2317376,4734752,1413191,955819,281453,175919
1996:Q1,BabyBoom,9114171,11950132,3559103,1088682,1429453,1860667,1083216,1255409,1673602,2835961,2114828,628602,92531
1996:Q1,GenX,748739,1315189,446593,295616,93752,111731,99338,64590,203570,566450,307659,252152,6639
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,19421371,20851195,4604239,1184352,3475597,3582426,956162,2306313,4742105,1429824,962730,289886,177208
1996:Q2,BabyBoom,9389298,12268069,3638182,1096336,1502682,1905392,1123486,1279679,1722313,2878771,2140912,638996,98863
1996:Q2,GenX,744245,1347262,454156,298143,103915,119459,98286,63323,209980,603017,328019,267697,7301
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,19480235,20925804,4625835,1190863,3505763,3604584,969185,2298804,4730771,1445569,970979,297903,176687
1996:Q3,BabyBoom,9613299,12532472,3701471,1109652,1505777,1948633,1169551,1308774,1788614,2919173,2167268,648741,103164
1996:Q3,GenX,742492,1383833,471567,304705,92627,126979,99754,65049,223152,641341,350590,283203,7548
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,19732877,21197199,4667940,1184718,3628095,3627501,1011043,2310237,4767664,1464322,975818,308987,179517
1996:Q4,BabyBoom,9927161,12890417,3695102,1126847,1599086,1978304,1261659,1374383,1855036,2963257,2196190,663276,103791
1996:Q4,GenX,867045,1542123,526671,316428,109266,130653,132645,91059,235401,675078,366124,301615,7339
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,19761537,21228397,4695022,1186505,3667734,3651594,1014336,2324298,4688907,1466860,980803,300505,185552
1997:Q1,BabyBoom,10097866,13075268,3717367,1143949,1610434,2019413,1289899,1443116,1851090,2977403,2216750,648542,112111
1997:Q1,GenX,915491,1611808,560014,326646,99881,137633,122482,120354,244798,696317,382919,305128,8270
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,20224849,21710795,4718907,1192567,4042115,3676496,1054999,2322670,4703041,1485946,987211,305281,193454
1997:Q2,BabyBoom,10753758,13769143,3803116,1149045,1952723,2073781,1430557,1479825,1880096,3015385,2242838,653953,118594
