Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,73.4,64.3,66.6,55.9,78.9,82.3,85.5,83.6,85.2,73.7,93,96.8,91.6,81.7,60.9,69.3,66.4,81.9,73.9,61.2,40.2,40.1,37.6,39.4,51.9,83.6,60.6,78.6,48553376
1989:Q3,BabyBoom,26,34.7,32.8,41.7,20.8,17.3,14.4,15.9,14.3,26.1,7,3.2,8.4,18.1,38.3,30.6,33.4,18.1,25.7,37.5,58.1,58.2,61.3,56.8,47.9,16.2,38.6,21.1,39289625
1989:Q3,GenX,0.6,1,0.6,2.4,0.3,0.4,0.1,0.5,0.5,0.2,0,0,0,0.2,0.8,0,0.2,0,0.4,1.3,1.7,1.7,1.1,3.8,0.2,0.2,0.8,0.4,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,73.1,64.2,66.6,55.4,78.4,81.1,83.9,83.8,85.4,74.3,92.9,95.2,91.8,81.5,60.8,68.4,66.2,81.1,73.8,60.9,40,39.9,37.5,39.2,52.4,82.8,60.2,78.2,48581894
1989:Q4,BabyBoom,26.2,34.5,32.5,42,21.3,18.3,15.9,15.7,14.1,25.4,7.1,4.8,8.2,18.3,38.3,31.4,33.5,18.8,25.7,37.6,58.2,58.3,61.4,56.6,47.4,17.1,38.6,21.2,39314788
1989:Q4,GenX,0.7,1.3,0.9,2.6,0.4,0.6,0.2,0.5,0.5,0.3,0,0,0,0.2,1,0.2,0.3,0.1,0.5,1.5,1.8,1.8,1.1,4.2,0.2,0.2,1.2,0.5,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,72.9,63.9,66.2,55.4,78.3,80.7,82,83.2,84.5,74.5,92.9,95.2,92.1,83.2,60.8,67.6,66.9,80.7,73.6,60.6,39.8,39.7,37.5,38.7,52.8,81.9,60.4,78.1,48563738
1990:Q1,BabyBoom,26.4,34.9,32.9,41.8,21.4,18.7,17.7,16.3,14.9,25.1,7.1,4.8,7.9,16.8,38.1,32.1,33,19.2,25.8,37.7,58.2,58.3,61.2,56.7,46.9,17.9,38.4,21.4,39352975
