Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,Silent,78.6,73.4,66.6,55.9,81.7,81.9,67.3,73.9,80.8,40.2,37.6,39.4,80.4,67.33617382710561
1989:Q3,BabyBoom,21.1,26,32.8,41.7,18.1,18.1,32.5,25.7,18.7,58.1,61.3,56.8,19.4,32.52768886075296
1989:Q3,GenX,0.4,0.6,0.6,2.4,0.2,0,0.1,0.4,0.5,1.7,1.1,3.8,0.2,0.13613731214142402
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,78.2,73.1,66.6,55.4,81.5,81.1,66.9,73.8,80.1,40,37.5,39.2,79.5,66.88339950875583
1989:Q4,BabyBoom,21.2,26.2,32.5,42,18.3,18.8,32.9,25.7,19.4,58.2,61.4,56.6,20.2,32.85812110054696
1989:Q4,GenX,0.5,0.7,0.9,2.6,0.2,0.1,0.3,0.5,0.6,1.8,1.1,4.2,0.3,0.25847939069721815
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,78.1,72.9,66.2,55.4,83.2,80.7,67.1,73.6,79.5,39.8,37.5,38.7,78.8,67.12220672958625
1990:Q1,BabyBoom,21.4,26.4,32.9,41.8,16.8,19.2,32.7,25.8,19.8,58.2,61.2,56.7,20.9,32.71233946030947
1990:Q1,GenX,0.5,0.7,0.9,2.8,0,0.1,0.2,0.6,0.7,2.1,1.3,4.6,0.3,0.16545381010427831
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,77.9,72.7,66.3,54.7,82.9,80.2,66.6,73.5,79.1,39.7,37.5,38.3,78.3,66.63719781447999
1990:Q2,BabyBoom,21.5,26.5,32.5,42.2,17.1,19.7,33.1,25.8,20.2,58.1,61,56.6,21.4,33.13486901171547
1990:Q2,GenX,0.6,0.9,1.1,3.1,0,0.1,0.2,0.6,0.7,2.3,1.5,5.1,0.3,0.2279331738045418
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,77.8,72.5,65.8,54.9,87.5,79.8,67.4,73.4,78.3,39.3,37.4,37.9,77.7,67.43271082948452
1990:Q3,BabyBoom,21.5,26.6,33.2,41.9,12.5,20.1,32.4,25.9,20.8,58.2,61.1,56.4,22,32.37958975732018
1990:Q3,GenX,0.6,0.9,1.1,3.2,0,0.2,0.2,0.7,0.9,2.5,1.6,5.6,0.3,0.18769941319529665
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,77.4,72,65.5,54.8,85.2,79.3,66.9,73.2,77.4,39,37,37.4,76.9,66.90633565841374
1990:Q4,BabyBoom,21.9,27,33.4,41.9,14.8,20.5,32.9,26,21.6,58.4,61.4,56.3,22.7,32.868673812760456
1990:Q4,GenX,0.7,1,1.1,3.4,0,0.2,0.2,0.8,1,2.6,1.5,6.3,0.4,0.22499052882579726
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,77,71.7,65.5,54.1,82.2,78.9,66.3,73.2,77.2,38.6,36.8,36.7,75.9,66.25762085913185
1991:Q1,BabyBoom,22.2,27.2,33.3,42.2,17.8,20.9,33.4,25.9,21.7,58.8,61.8,56.4,23.6,33.40689601379576
1991:Q1,GenX,0.8,1.1,1.3,3.7,0,0.2,0.3,0.9,1.1,2.7,1.5,6.9,0.4,0.3354831270723947
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,76.9,71.6,65.2,53.8,82.7,78.3,66.1,73.3,77.2,38.3,36.6,36.1,75.5,66.13357919480369
1991:Q2,BabyBoom,22.2,27.3,33.4,42.2,17.3,21.4,33.5,25.9,21.6,58.8,61.7,56.3,24.1,33.52769679300292
1991:Q2,GenX,0.8,1.1,1.3,4,0,0.3,0.3,0.9,1.2,3,1.7,7.5,0.4,0.3387240121933999
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
