Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3524093,802535,536243,266293,2721558,318709,98720,457623,366909,90714,22183,15506,6677,738776,41282,7884,95200,88814,835440,16927,143403,141698,90963,27133,1331,22271,1705,3380690,932724,244230,311000224
1989:Q3,pct80to99,10479241,3738560,3036817,701742,6740681,1224174,172134,462387,432999,29388,93201,13178,80023,912959,172864,195236,413434,1560127,1437692,96474,1502756,1495017,1156633,252993,1698,83693,7739,8976485,17676923,52186,244230
1989:Q3,pct60to80,4236244,1836642,1407118,429524,2399602,529656,57856,146751,115618,31134,16623,3799,12824,221461,73565,72493,81049,874792,275864,49491,826656,823362,566066,241982,365,14948,3294,3409588,18599003,32318,52186
1989:Q3,pct40to60,2961795,1250681,999721,250961,1711113,453611,19887,91079,75587,15491,19076,2089,16987,118515,33163,39243,39305,618700,245217,33317,425150,423665,259057,159518,729,4361,1486,2536644,18605233,20522,32306
1989:Q3,pct20to40,1716204,841706,669511,172195,874498,317217,11883,38372,37107,1265,14153,9445,4708,40817,20975,6555,49067,227011,127812,20635,189163,188223,113475,69862,248,4638,939,1527041,18612879,10371,20468
1989:Q3,pct00to20,656610,318925,243288,75636,337686,113785,2163,9257,8016,1241,3979,193,3785,23160,11849,1207,7137,108522,47601,9027,63307,62776,24496,32718,154,5408,530,593304,18593339,0,10366
1989:Q4,pct99to100,3635823,838520,567454,271066,2797304,328128,106007,465358,373430,91928,27695,19339,8356,749779,42136,8421,100894,94601,857085,17200,149828,147781,96791,26411,1263,23315,2047,3485996,934815,,
1989:Q4,pct80to99,10678632,3806200,3099013,707187,6872432,1243089,178297,473071,439384,33687,95549,17108,78440,945845,177114,200932,431014,1594487,1435190,97843,1521725,1513795,1173980,257071,1651,81094,7929,9156907,17724747,,
1989:Q4,pct60to80,4318925,1850985,1416465,434519,2467940,534611,57273,148967,117594,31373,17517,4647,12870,227983,75290,77144,89149,905075,284357,50575,848105,844766,579800,249531,354,15081,3339,3470820,18645601,,
1989:Q4,pct40to60,2990437,1253566,998083,255484,1736871,460509,20910,88959,73457,15502,21706,2886,18820,125014,35891,39809,40294,621881,247754,34143,440598,439077,267613,165452,702,5310,1521,2549838,18653860,,
1989:Q4,pct20to40,1735491,844892,666936,177955,890599,318188,12430,38542,36950,1592,16220,11030,5190,45041,22666,7199,47065,237643,124301,21305,199284,198280,115835,77520,263,4662,1004,1536207,18660854,,
1989:Q4,pct00to20,670388,325930,246366,79563,344459,116256,2320,8994,7577,1417,4418,254,4164,24378,11959,1289,6779,110447,48143,9475,65540,65009,26095,33300,150,5464,531,604848,18642361,,
1990:Q1,pct99to100,3614811,834809,567826,266983,2780002,325209,118846,479171,390339,88832,27031,16919,10112,677593,41081,8954,102723,99702,881922,17770,159239,157453,104609,24777,1533,26535,1785,3455572,936933,,
1990:Q1,pct80to99,10703572,3810832,3087389,723443,6892740,1240618,189229,489427,454136,35291,93187,16378,76809,907777,179522,206370,432246,1619504,1434442,100416,1548001,1540213,1203562,253016,2059,81575,7788,9155571,17772195,,
1990:Q1,pct60to80,4382061,1878708,1434840,443868,2503353,535440,57528,153254,123524,29730,17145,4205,12940,215812,76240,81676,90397,930028,293343,52489,856831,853537,598052,239623,437,15426,3294,3525229,18692367,,
1990:Q1,pct40to60,3028964,1277824,1010183,267642,1751139,463926,22144,87821,73356,14465,24181,3360,20822,126657,38275,40321,38375,623424,250362,35654,449308,447707,279309,161608,871,5920,1600,2579656,18702324,,
1990:Q1,pct20to40,1763930,865284,682307,182976,898646,318235,13402,38689,36902,1787,15391,9630,5761,46208,24175,7830,43927,247763,120582,22445,202113,201082,119843,76151,361,4727,1031,1561817,18708717,,
1990:Q1,pct00to20,700868,349718,267501,82217,351150,117887,2510,10375,8854,1522,4835,229,4606,24856,11829,1368,6531,112060,48630,10269,72427,71914,29536,37145,189,5044,513,628441,18691233,,
1990:Q2,pct99to100,3698173,864148,592979,271169,2834025,323100,112899,496933,407527,89406,28818,16901,11917,691302,40676,9618,105661,105103,902116,17799,167169,165429,111946,23852,1216,28416,1740,3531004,939076,,
1990:Q2,pct80to99,10840706,3855180,3127840,727340,6985526,1239511,183446,508767,468835,39932,92476,17629,74847,944116,182573,218484,437888,1648348,1429129,100789,1569983,1562218,1227424,252988,1681,80125,7765,9270723,17819309,,
1990:Q2,pct60to80,4445545,1882440,1434577,447863,2563105,536549,54439,159239,129582,29657,17199,4262,12937,223148,77462,89410,93570,957253,301943,52894,870182,866901,611346,239558,356,15641,3281,3575363,18739315,,
1990:Q2,pct40to60,3047547,1274962,1003310,271652,1772585,467593,22668,87347,73063,14284,26744,4060,22684,133619,40792,42221,37176,625629,252879,35918,461204,459540,288584,163508,701,6747,1664,2586343,18750656,,
1990:Q2,pct20to40,1775477,865834,677349,188485,909643,318337,12909,38911,36758,2152,15505,9298,6207,50710,25756,8812,40963,258144,116864,22730,209713,208641,123383,80173,318,4767,1072,1565764,18756498,,
1990:Q2,pct00to20,713168,354716,268714,86002,358452,119586,2595,11917,10200,1717,5200,238,4962,26158,11780,1505,6240,113806,49233,10434,76935,76434,32728,38634,154,4919,501,636234,18739984,,
1990:Q3,pct99to100,3575687,850659,588079,262579,2725028,323995,124122,518641,431109,87532,31090,17297,13793,520830,39580,10058,105319,110197,923122,18075,170882,169223,118188,22920,512,27604,1659,3404805,941245,,
1990:Q3,pct80to99,10749274,3843853,3103994,739859,6905420,1243562,192822,531177,488175,43002,92207,19416,72791,813332,184963,218908,429817,1672812,1423654,102166,1583860,1576139,1245957,254671,729,74782,7722,9165413,17866127,,
1990:Q3,pct60to80,4481662,1909901,1456293,453609,2571761,538666,54228,166641,138142,28499,17349,4409,12940,187281,78408,91551,90837,982030,310779,53991,885994,882732,624655,242330,155,15592,3262,3595668,18786458,,
1990:Q3,pct40to60,3079061,1301277,1018963,282315,1777784,472130,23877,87305,73810,13495,29562,4904,24658,127267,43192,41686,33537,627049,255425,36753,474097,472367,297190,166865,299,8014,1730,2604964,18798888,,
1990:Q3,pct20to40,1800619,887898,696813,191085,912722,318652,13749,38973,36532,2442,15780,9078,6702,47227,27276,9181,37158,268312,113005,23408,217554,216443,126018,85521,147,4757,1111,1583065,18804226,,
1990:Q3,pct00to20,746016,380840,294041,86799,365176,121503,2782,14605,12733,1872,5608,255,5353,25303,11643,1541,6062,115407,49834,10887,80666,80178,34729,39995,66,5388,488,665350,18788642,,
1990:Q4,pct99to100,3721383,843988,586241,257746,2877396,332754,127926,546367,450046,96321,35766,20042,15724,595386,38618,10596,111854,115493,944306,18331,178102,176213,123159,21721,553,30781,1889,3543281,943441,,
1990:Q4,pct80to99,10928950,3826396,3077305,749091,7102554,1261161,195610,561039,503559,57480,94168,23651,70517,908176,187496,224324,449852,1699770,1417499,103459,1599100,1591249,1258637,256654,816,75142,7850,9329850,17912692,,
1990:Q4,pct60to80,4578403,1918691,1460252,458439,2659712,543396,52736,177143,144937,32207,17932,5029,12903,209509,79415,96088,100366,1008310,319783,55034,902841,899551,639147,244299,172,15934,3290,3675562,18833811,,
1990:Q4,pct40to60,3124066,1312324,1021560,290764,1811742,478906,24796,88747,73339,15408,32809,6224,26585,139499,45630,42189,34736,628899,257988,37542,485765,483990,305517,169497,331,8645,1775,2638301,18847050,,
1990:Q4,pct20to40,1829926,900261,705699,194561,929665,319520,14011,39569,36167,3401,16727,9591,7136,54701,28817,9813,34768,278664,109019,24054,223817,222648,127566,90082,180,4821,1169,1606108,18851932,,
1990:Q4,pct00to20,772759,397884,309366,88518,374875,123973,2927,16831,14473,2359,6016,314,5702,27499,11523,1620,5621,117097,50450,11318,82907,82422,35230,42138,74,4980,485,689852,18837237,,
1991:Q1,pct99to100,3898063,863784,604031,259753,3034279,332641,151207,537545,440339,97206,36213,18545,17668,714601,37721,11063,120734,120645,953541,18369,183673,181910,128254,19937,930,32790,1763,3714391,945663,,
1991:Q1,pct80to99,11152120,3852973,3097752,755222,7299147,1263404,214568,563033,497307,65727,92026,24162,67864,1041065,190103,226175,479181,1724526,1401205,103861,1605394,1597612,1270463,251914,1433,73802,7782,9546727,17959044,,
1991:Q1,pct60to80,4664375,1923108,1459677,463431,2741267,545187,53757,172923,140527,32395,17557,4805,12752,241669,80455,98906,114295,1033401,327652,55466,904194,900929,652135,232334,298,16161,3265,3760181,18881388,,
1991:Q1,pct40to60,3150785,1313066,1016200,296866,1837719,483199,26417,82421,67060,15361,35239,7055,28184,154258,48093,41953,37566,630343,260402,37826,489398,487552,313266,164241,576,9470,1846,2661387,18895173,,
1991:Q1,pct20to40,1851437,904126,703864,200262,947310,319744,15733,39863,35836,4027,15810,8490,7320,64301,30373,10256,32649,288933,105292,24355,222781,221575,129143,87222,347,4863,1206,1628656,18899644,,
1991:Q1,pct00to20,784749,406299,314004,92295,378449,125845,3187,13487,10814,2673,6180,305,5875,30045,11411,1668,5049,118716,51366,11494,87884,87413,35892,46558,132,4831,471,696865,18885798,,
1991:Q2,pct99to100,3880565,867445,611558,255886,3013120,315388,141690,553221,455601,97620,36461,16757,19704,688024,37531,11582,124848,126017,959913,18446,190970,189391,135594,18826,268,34703,1579,3689595,947911,,
1991:Q2,pct80to99,11168473,3856486,3095794,760692,7311987,1236040,206304,584624,509830,74794,89661,24411,65250,1044214,193411,230568,488713,1752042,1381985,104423,1625157,1617475,1294184,250559,431,72301,7681,9543316,18005223,,
1991:Q2,pct60to80,4715709,1932480,1466216,466264,2783229,541320,50465,178270,145853,32418,17180,4524,12656,240164,81791,102953,119528,1060141,335404,56011,914929,911699,665974,229255,90,16380,3230,3800780,18929204,,
1991:Q2,pct40to60,3172014,1321516,1018252,303264,1850498,482693,26901,80692,65475,15217,37915,7852,30063,159188,50701,42243,36854,632271,262838,38203,499530,497610,322745,164380,169,10316,1920,2672484,18943289,,
1991:Q2,pct20to40,1868059,913758,710198,203561,954301,318755,14997,40133,35412,4720,14954,7287,7667,67537,32006,10834,29404,299399,101562,24719,228477,227238,132634,89589,111,4904,1238,1639583,18947392,,
1991:Q2,pct00to20,805217,420802,326762,94040,384415,126551,3258,14776,11760,3017,6457,291,6165,31050,11388,1738,4662,120433,52383,11717,92877,92423,38981,48698,39,4705,455,712339,18934354,,
1991:Q3,pct99to100,3928736,850853,605408,245445,3077883,307140,140429,559940,469212,90727,41511,19765,21746,738664,35895,12083,132079,131407,960211,18525,202481,201087,142000,18262,210,40616,1394,3726255,950185,,
1991:Q3,pct80to99,11253375,3838912,3066573,772339,7414463,1224205,204781,594992,520960,74032,92463,30163,62300,1115991,195325,234042,510721,1779559,1357395,104990,1636735,1629155,1304141,248074,355,76584,7580,9616640,18051269,,
1991:Q3,pct60to80,4805514,1957626,1486500,471126,2847888,540448,48240,179207,150533,28673,17645,5195,12450,256429,82542,106555,130588,1086951,342722,56561,912779,909583,665242,227274,74,16994,3196,3892735,18977272,,
1991:Q3,pct40to60,3218482,1347319,1033141,314178,1871163,484748,27636,76242,63348,12894,41474,9872,31602,169273,53050,42344,38345,634188,265281,38583,504010,502015,325410,165953,137,10515,1995,2714472,18991430,,
