Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3380690,3524093,536243,266293,738776,88814,103084,835440,955444,143403,90963,27133,25307
1989:Q3,pct80to99,8976485,10479241,3036817,701742,912959,1560127,608670,1437692,2221233,1502756,1156633,252993,93130
1989:Q3,pct60to80,3409588,4236244,1407118,429524,221461,874792,153542,275864,873943,826656,566066,241982,18608
1989:Q3,pct40to60,2536644,2961795,999721,250961,118515,618700,78548,245217,650133,425150,259057,159518,6575
1989:Q3,pct20to40,1527041,1716204,669511,172195,40817,227011,55622,127812,423236,189163,113475,69862,5826
1989:Q3,pct00to20,593304,656610,243288,75636,23160,108522,8344,47601,150059,63307,24496,32718,6093
1989:Q4,pct99to100,3485996,3635823,567454,271066,749779,94601,109315,857085,986524,149828,96791,26411,26626
1989:Q4,pct80to99,9156907,10678632,3099013,707187,945845,1594487,631946,1435190,2264964,1521725,1173980,257071,90674
1989:Q4,pct60to80,3470820,4318925,1416465,434519,227983,905075,166293,284357,884232,848105,579800,249531,18774
1989:Q4,pct40to60,2549838,2990437,998083,255484,125014,621881,80103,247754,662119,440598,267613,165452,7533
1989:Q4,pct20to40,1536207,1735491,666936,177955,45041,237643,54264,124301,429350,199284,115835,77520,5929
1989:Q4,pct00to20,604848,670388,246366,79563,24378,110447,8068,48143,153423,65540,26095,33300,6145
1990:Q1,pct99to100,3455572,3614811,567826,266983,677593,99702,111677,881922,1009108,159239,104609,24777,29853
1990:Q1,pct80to99,9155571,10703572,3087389,723443,907777,1619504,638616,1434442,2292401,1548001,1203562,253016,91423
1990:Q1,pct60to80,3525229,4382061,1434840,443868,215812,930028,172073,293343,892097,856831,598052,239623,19156
1990:Q1,pct40to60,2579656,3028964,1010183,267642,126657,623424,78696,250362,672000,449308,279309,161608,8391
1990:Q1,pct20to40,1561817,1763930,682307,182976,46208,247763,51757,120582,432336,202113,119843,76151,6119
1990:Q1,pct00to20,628441,700868,267501,82217,24856,112060,7899,48630,157705,72427,29536,37145,5746
1990:Q2,pct99to100,3531004,3698173,592979,271169,691302,105103,115279,902116,1020225,167169,111946,23852,31371
1990:Q2,pct80to99,9270723,10840706,3127840,727340,944116,1648348,656372,1429129,2307561,1569983,1227424,252988,89571
1990:Q2,pct60to80,3575363,4445545,1434577,447863,223148,957253,182980,301943,897781,870182,611346,239558,19278
1990:Q2,pct40to60,2586343,3047547,1003310,271652,133619,625629,79397,252879,681061,461204,288584,163508,9112
