Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,14.9,9.1,7.8,14,18.4,10.8,27.2,38,35.4,53.6,13.1,35.1,5.3,35.9,11.7,2.4,13.9,2.6,28.1,7.5,4.6,4.5,4.1,3.5,29.4,16.5,10.9,16.6,932724,244230,311000224
1989:Q3,pct80to99,44.5,42.5,44.1,37,45.6,41.4,47.5,38.4,41.8,17.4,55.1,29.8,64,44.4,48.9,60.5,60.3,44.9,48.4,42.7,47.7,47.7,52.3,32.3,37.5,61.8,49.3,44,17676923,52186,244230
1989:Q3,pct60to80,18,20.9,20.4,22.7,16.2,17.9,16,12.2,11.2,18.4,9.8,8.6,10.3,10.8,20.8,22.5,11.8,25.2,9.3,21.9,26.2,26.3,25.6,30.9,8.1,11,21,16.7,18599003,32318,52186
1989:Q3,pct40to60,12.6,14.2,14.5,13.2,11.6,15.3,5.5,7.6,7.3,9.2,11.3,4.7,13.6,5.8,9.4,12.2,5.7,17.8,8.3,14.8,13.5,13.5,11.7,20.3,16.1,3.2,9.5,12.4,18605233,20522,32306
1989:Q3,pct20to40,7.3,9.6,9.7,9.1,5.9,10.7,3.3,3.2,3.6,0.7,8.4,21.4,3.8,2,5.9,2,7.2,6.5,4.3,9.1,6,6,5.1,8.9,5.5,3.4,6,7.5,18612879,10371,20468
1989:Q3,pct00to20,2.8,3.6,3.5,4,2.3,3.8,0.6,0.8,0.8,0.7,2.4,0.4,3,1.1,3.3,0.4,1,3.1,1.6,4,2,2,1.1,4.2,3.4,4,3.4,2.9,18593339,0,10366
1989:Q4,pct99to100,15.1,9.4,8.1,14.1,18.5,10.9,28.1,38,35.6,52.4,15.1,35,6.5,35.4,11.5,2.5,14.1,2.7,28.6,7.5,4.6,4.6,4.3,3.3,28.8,17.3,12.5,16.8,934815,,
1989:Q4,pct80to99,44.4,42.7,44.3,36.7,45.5,41.4,47.3,38.7,41.9,19.2,52.2,31,61.4,44.7,48.5,60,60.3,44.7,47.9,42.4,47.2,47.2,51.9,31.8,37.7,60.1,48.4,44,17724747,,
1989:Q4,pct60to80,18,20.8,20.3,22.6,16.3,17.8,15.2,12.2,11.2,17.9,9.6,8.4,10.1,10.8,20.6,23,12.5,25.4,9.5,21.9,26.3,26.3,25.7,30.8,8.1,11.2,20.4,16.7,18645601,,
1989:Q4,pct40to60,12.4,14.1,14.3,13.3,11.5,15.3,5.5,7.3,7,8.8,11.9,5.2,14.7,5.9,9.8,11.9,5.6,17.4,8.3,14.8,13.7,13.7,11.8,20.4,16,3.9,9.3,12.3,18653860,,
1989:Q4,pct20to40,7.2,9.5,9.5,9.2,5.9,10.6,3.3,3.1,3.5,0.9,8.9,20,4.1,2.1,6.2,2.2,6.6,6.7,4.1,9.2,6.2,6.2,5.1,9.6,6,3.5,6.1,7.4,18660854,,
1989:Q4,pct00to20,2.8,3.7,3.5,4.1,2.3,3.9,0.6,0.7,0.7,0.8,2.4,0.5,3.3,1.2,3.3,0.4,0.9,3.1,1.6,4.1,2,2,1.2,4.1,3.4,4,3.2,2.9,18642361,,
1990:Q1,pct99to100,14.9,9.3,8.1,13.6,18.3,10.8,29.4,38.1,35.9,51.8,14.9,33.4,7.7,33.9,11.1,2.6,14.4,2.7,29.1,7.4,4.8,4.8,4.5,3.1,28.1,19.1,11.2,16.5,936933,,
1990:Q1,pct80to99,44.2,42.3,43.8,36.8,45.4,41.3,46.9,38.9,41.8,20.6,51.3,32.3,58.6,45.4,48.4,59.6,60.5,44.6,47.4,42,47.1,47.1,51.5,31.9,37.8,58.6,48.6,43.8,17772195,,
1990:Q1,pct60to80,18.1,20.8,20.4,22.6,16.5,17.8,14.3,12.2,11.4,17.3,9.4,8.3,9.9,10.8,20.5,23.6,12.7,25.6,9.7,22,26.1,26.1,25.6,30.2,8,11.1,20.6,16.9,18692367,,
1990:Q1,pct40to60,12.5,14.2,14.3,13.6,11.5,15.5,5.5,7,6.7,8.4,13.3,6.6,15.9,6.3,10.3,11.6,5.4,17.2,8.3,14.9,13.7,13.7,12,20.4,16,4.3,10,12.3,18702324,,
1990:Q1,pct20to40,7.3,9.6,9.7,9.3,5.9,10.6,3.3,3.1,3.4,1,8.5,19,4.4,2.3,6.5,2.3,6.2,6.8,4,9.4,6.1,6.1,5.1,9.6,6.6,3.4,6.4,7.5,18708717,,
1990:Q1,pct00to20,2.9,3.9,3.8,4.2,2.3,3.9,0.6,0.8,0.8,0.9,2.7,0.5,3.5,1.2,3.2,0.4,0.9,3.1,1.6,4.3,2.2,2.2,1.3,4.7,3.5,3.6,3.2,3,18691233,,
