Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,pct99to100,16.6,14.9,7.8,14,35.9,2.6,10.2,28.1,18.1,4.6,4.1,3.5,16.3,10.228515295541818
1989:Q3,pct80to99,44,44.5,44.1,37,44.4,44.9,60.4,48.4,42.1,47.7,52.3,32.3,59.9,60.3953126085274
1989:Q3,pct60to80,16.7,18,20.4,22.7,10.8,25.2,15.2,9.3,16.6,26.2,25.6,30.9,12,15.235212986574851
1989:Q3,pct40to60,12.4,12.6,14.5,13.2,5.8,17.8,7.8,8.3,12.3,13.5,11.7,20.3,4.2,7.793929411297765
1989:Q3,pct20to40,7.5,7.3,9.7,9.1,2,6.5,5.5,4.3,8,6,5.1,8.9,3.7,5.519095861323066
1989:Q3,pct00to20,2.9,2.8,3.5,4,1.1,3.1,0.8,1.6,2.8,2,1.1,4.2,3.9,0.8279338367350989
1989:Q4,pct99to100,16.8,15.1,8.1,14.1,35.4,2.7,10.4,28.6,18.3,4.6,4.3,3.3,17.1,10.411061449215183
1989:Q4,pct80to99,44,44.4,44.3,36.7,44.7,44.7,60.2,47.9,42.1,47.2,51.9,31.8,58.2,60.18596385295465
1989:Q4,pct60to80,16.7,18,20.3,22.6,10.8,25.4,15.8,9.5,16.4,26.3,25.7,30.8,12.1,15.837594489085124
1989:Q4,pct40to60,12.3,12.4,14.3,13.3,5.9,17.4,7.6,8.3,12.3,13.7,11.8,20.4,4.8,7.628937065054968
1989:Q4,pct20to40,7.4,7.2,9.5,9.2,2.1,6.7,5.2,4.1,8,6.2,5.1,9.6,3.8,5.168054141519578
1989:Q4,pct00to20,2.9,2.8,3.5,4.1,1.2,3.1,0.8,1.6,2.9,2,1.2,4.1,3.9,0.7683890021704989
1990:Q1,pct99to100,16.5,14.9,8.1,13.6,33.9,2.7,10.5,29.1,18.5,4.8,4.5,3.1,18.6,10.528434513225946
1990:Q1,pct80to99,43.8,44.2,43.8,36.8,45.4,44.6,60.2,47.4,42,47.1,51.5,31.9,56.9,60.2060113998254
1990:Q1,pct60to80,16.9,18.1,20.4,22.6,10.8,25.6,16.2,9.7,16.4,26.1,25.6,30.2,11.9,16.2223135649626
1990:Q1,pct40to60,12.3,12.5,14.3,13.6,6.3,17.2,7.4,8.3,12.3,13.7,12,20.4,5.2,7.41912553572203
1990:Q1,pct20to40,7.5,7.3,9.7,9.3,2.3,6.8,4.9,4,7.9,6.1,5.1,9.6,3.8,4.879430725225744
1990:Q1,pct00to20,3,2.9,3.8,4.2,1.2,3.1,0.7,1.6,2.9,2.2,1.3,4.7,3.6,0.7446842610382779
1990:Q2,pct99to100,16.7,15.1,8.3,13.6,33.4,2.8,10.6,29.6,18.5,5,4.7,3,19.5,10.561056407963736
1990:Q2,pct80to99,43.8,44.2,44,36.5,45.6,44.5,60.1,46.8,41.9,46.8,51.2,31.7,55.6,60.13221589888855
1990:Q2,pct60to80,16.9,18.1,20.2,22.5,10.8,25.8,16.8,9.9,16.3,25.9,25.5,30,12,16.763348931975504
1990:Q2,pct40to60,12.2,12.4,14.1,13.6,6.5,16.9,7.3,8.3,12.4,13.7,12,20.5,5.7,7.273798312121866
1990:Q2,pct20to40,7.4,7.2,9.5,9.5,2.5,7,4.6,3.8,7.9,6.3,5.2,10,3.8,4.560037671270526
1990:Q2,pct00to20,3,2.9,3.8,4.3,1.3,3.1,0.7,1.6,2.9,2.3,1.4,4.8,3.5,0.7095427777798137
1990:Q3,pct99to100,16.2,14.6,8.2,13,30.3,2.9,10.7,30,18.8,5,4.8,2.8,19.3,10.726208682151805
1990:Q3,pct80to99,43.6,44,43.4,36.7,47.3,44.3,60.3,46.3,41.8,46.4,50.9,31.4,54,60.309764747990755
1990:Q3,pct60to80,17.1,18.3,20.3,22.5,10.9,26,17,10.1,16.2,26,25.5,29.8,12.3,16.955994254663437
1990:Q3,pct40to60,12.4,12.6,14.2,14,7.4,16.6,7,8.3,12.4,13.9,12.1,20.5,6.5,6.993227382385617
1990:Q3,pct20to40,7.5,7.4,9.7,9.5,2.7,7.1,4.3,3.7,7.8,6.4,5.2,10.5,3.9,4.307979789058759
1990:Q3,pct00to20,3.2,3.1,4.1,4.3,1.5,3.1,0.7,1.6,3,2.4,1.4,4.9,3.9,0.7068251437496224
1990:Q4,pct99to100,16.5,14.9,8.2,12.6,30.8,3,10.9,30.5,19.1,5.1,4.9,2.6,20.9,10.915230244948642
1990:Q4,pct80to99,43.4,43.8,43,36.7,46.9,44.2,60.1,45.7,41.8,46,50.6,31.1,52.7,60.096253700436876
1990:Q4,pct60to80,17.1,18.3,20.4,22.5,10.8,26.2,17.5,10.3,16.1,26,25.7,29.6,12.2,17.511969314341695
1990:Q4,pct40to60,12.3,12.5,14.3,14.3,7.2,16.3,6.9,8.3,12.3,14,12.3,20.6,6.8,6.857117897857691
1990:Q4,pct20to40,7.5,7.3,9.9,9.5,2.8,7.2,4,3.5,7.7,6.4,5.1,10.9,3.9,3.973963899959619
1990:Q4,pct00to20,3.2,3.1,4.3,4.3,1.4,3,0.6,1.6,3,2.4,1.4,5.1,3.5,0.6454649424554766
1991:Q1,pct99to100,16.9,15.3,8.4,12.6,31.8,3.1,11.2,30.8,19.2,5.3,5.1,2.5,21.9,11.174019389654047
1991:Q1,pct80to99,43.4,43.7,43.1,36.5,46.4,44,59.8,45.2,41.9,46,50.2,31.4,51.3,59.80152522901751
1991:Q1,pct60to80,17.1,18.3,20.3,22.4,10.8,26.4,18.1,10.6,16,25.9,25.8,29,12.2,18.075617107321353
1991:Q1,pct40to60,12.1,12.4,14.1,14.4,6.9,16.1,6.7,8.4,12.3,14,12.4,20.5,7.3,6.741783559913353
1991:Q1,pct20to40,7.4,7.3,9.8,9.7,2.9,7.4,3.6,3.4,7.7,6.4,5.1,10.9,4,3.6375737073917227
1991:Q1,pct00to20,3.2,3.1,4.4,4.5,1.3,3,0.6,1.7,3,2.5,1.4,5.8,3.4,0.5694810067020207
1991:Q2,pct99to100,16.7,15.2,8.5,12.3,30.9,3.2,11.3,31,19.1,5.4,5.2,2.3,22.8,11.332082426924556
