Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,1789445,339884,142235,197650,1449560,134945,42207,319004,219596,99408,13730,7783,5947,297727,13396,749,23246,10382,589471,4705,42970,42514,14297,21060,360,6796,457,1746474,103110,7791895
1989:Q3,RemainingTop1,2962562,612762,451762,161000,2349800,415934,65139,273641,256336,17304,29359,16701,12658,584094,33441,6810,77018,112641,737952,13772,78109,76613,57447,5118,817,13231,1496,2884453,825297,2256876
1989:Q3,Next9,8121376,2493413,2073287,420125,5627963,1123831,151244,439998,397481,42517,95958,14662,81296,806808,104029,126841,295837,1411022,1013151,59245,498621,493965,393906,56985,1263,41811,4656,7622755,8371716,484932
1989:Q3,Next40,8969918,4167816,3410001,757814,4802102,1118711,95771,158202,148822,9380,29016,4964,24053,342980,159878,171088,249401,1784509,583729,108819,1574345,1567188,1161831,362749,1374,41234,7158,7395573,37206901,70501
1989:Q3,Bottom50,1730886,1175175,815414,359761,555712,163732,8282,14626,14002,624,1152,101,1051,24080,42956,17129,39690,159412,45323,39330,956389,954462,583208,338295,713,32247,1927,774497,46513077,
1989:Q4,TopPt1,1839920,355741,156774,198967,1484179,137997,45310,321409,223059,98350,17153,10035,7118,310803,13485,714,22616,12953,596982,4757,40680,40192,13636,19327,350,6879,489,1799240,101976,
1989:Q4,RemainingTop1,3033604,634757,473108,161649,2398846,415682,70222,282570,262103,20467,34206,20327,13878,597476,33936,7153,80008,118861,744743,13992,83560,81836,60128,5632,784,15292,1725,2950044,828994,
1989:Q4,Next9,8267371,2530330,2110392,419938,5737041,1140100,155640,444840,400066,44774,99946,18548,81398,824807,108629,132443,309526,1435647,1025120,60344,511713,506839,404230,60094,1215,41299,4874,7755658,8388627,
1989:Q4,Next40,9130793,4207672,3433440,774232,4923120,1140413,97758,160191,148977,11214,30480,6214,24267,359291,165310,177323,261672,1835986,583779,110918,1600346,1593019,1182308,369092,1324,40295,7328,7530446,37308395,
1989:Q4,Bottom50,1758008,1191591,820602,370989,566417,166590,8307,14882,14189,694,1320,141,1179,25664,43696,17160,41373,160686,46206,40531,988780,986823,599814,355140,709,31160,1956,769228,46634247,
1990:Q1,TopPt1,1832070,353231,166989,186242,1478838,136165,50906,327340,235545,91795,17133,8779,8355,285066,13071,681,21120,15414,607035,4907,38404,37960,13217,17202,437,7103,444,1793666,100948,
1990:Q1,RemainingTop1,3028997,647609,482178,165432,2381387,406417,79212,293507,271245,22262,34491,19302,15189,555253,33006,7488,80708,124678,752179,14449,89302,87773,63718,6436,961,16657,1529,2939695,832574,
1990:Q1,Next9,8285863,2533811,2099910,433901,5752052,1139756,163625,457632,412682,44950,98580,16931,81649,778508,111693,137748,311612,1451474,1039143,62282,535244,530418,425399,60038,1502,43479,4826,7750619,8406221,
1990:Q1,Next40,9239044,4247015,3449951,797064,4992029,1151167,101389,165127,153201,11926,30094,5559,24535,354550,169177,183415,259454,1879047,583779,114829,1615474,1608185,1209328,355938,1648,41272,7289,7623570,37408953,
1990:Q1,Bottom50,1808231,1235509,851019,384491,572721,167811,8527,15132,14438,694,1472,149,1323,25525,44174,17187,41305,161867,47144,42576,1009494,1007572,623249,352706,902,30715,1923,798736,46755074,
1990:Q2,TopPt1,1877015,367749,180196,187553,1509266,134798,47980,338044,248430,89615,18460,8923,9537,300104,12848,660,19865,17864,613756,4886,36295,35866,12791,15473,358,7244,428,1840720,100022,
1990:Q2,RemainingTop1,3074946,663801,498280,165520,2411146,397545,75009,306092,280327,25766,36588,20133,16455,570407,32548,8012,82014,130692,757771,14467,94750,93265,66991,7024,774,18476,1485,2980196,836041,
1990:Q2,Next9,8391803,2555947,2123255,432692,5835856,1140547,158934,472295,425203,47092,98961,17512,81449,799136,115307,150623,316876,1471000,1049476,62700,556949,552076,445116,61761,1211,43989,4873,7834853,8424473,
1990:Q2,Next40,9351538,4263879,3451867,812013,5087659,1162646,99006,171249,157338,13912,30311,5647,24664,372178,173594,193413,261041,1925638,583156,115425,1634147,1626823,1230461,353989,1325,41048,7325,7717390,37508670,
1990:Q2,Bottom50,1825314,1245904,851171,394733,579410,169140,8027,15433,14669,764,1622,173,1450,27228,44742,17343,41700,163088,48004,43084,1033044,1031133,640051,360465,758,29858,1911,792270,46875633,
1990:Q3,TopPt1,1826208,361038,189719,171319,1465170,134736,52804,351410,267072,84337,20119,9353,10766,228598,12459,620,17945,20257,621276,4947,33797,33388,12236,13777,157,7218,408,1792411,99194,
1990:Q3,RemainingTop1,3001059,673879,505671,168207,2327180,390653,82871,319590,291129,28461,39155,21371,17785,459272,31564,8208,81407,136528,763249,14684,100392,98977,69822,7615,333,21208,1415,2900667,839400,
1990:Q3,Next9,8317001,2551699,2105247,446452,5765302,1145436,165723,491587,443564,48024,99848,18560,81289,671353,118376,150231,312389,1486439,1060100,63820,568419,563514,457832,64033,517,41132,4905,7748582,8443355,
1990:Q3,Next40,9416405,4297854,3469799,828054,5118551,1176812,102022,179064,163837,15227,30686,5874,24812,337392,177449,196593,250366,1968319,582316,117533,1651859,1644512,1250611,354937,560,38404,7348,7764546,37607639,
1990:Q3,Bottom50,1871647,1289959,887747,402212,581688,170870,8161,15691,14899,792,1789,203,1586,24626,45214,17273,40623,164264,48878,44297,1058587,1056691,656235,371941,340,28175,1896,813060,46995998,
1990:Q4,TopPt1,1908743,360048,199252,160796,1548695,137822,54299,373500,281882,91617,23269,11287,11981,272920,12121,590,17398,22644,629129,5004,31562,31134,11502,12010,177,7445,427,1877181,98463,
1990:Q4,RemainingTop1,3102545,679793,509981,169812,2422752,389247,85504,338003,300325,37679,43570,24460,19110,516727,30669,8544,84699,142496,768410,14882,104999,103435,72162,8284,365,22623,1564,2997546,842656,
1990:Q4,Next9,8472127,2540543,2085471,455072,5931584,1160984,167521,512293,456978,55315,102863,21986,80877,743109,121575,155501,328006,1504305,1070540,64887,576714,571638,461663,66167,571,43236,5076,7895413,8462841,
1990:Q4,Next40,9561143,4302149,3458925,843223,5258994,1198008,102668,189732,168250,21482,31742,6857,24885,374126,181427,202693,264553,2013322,581210,119514,1672786,1665307,1270738,354641,621,39308,7478,7888357,37705957,
1990:Q4,Bottom50,1910930,1317011,906794,410217,593919,173650,8015,16169,15086,1082,1974,260,1714,27888,45706,17301,42540,165468,49756,45453,1086472,1084560,673190,383288,392,27690,1913,824457,47116247,
1991:Q1,TopPt1,1984927,370691,211463,159228,1614236,137564,64427,360894,271694,89200,23758,10685,13073,339469,11816,555,17258,25001,628499,4996,29192,28789,10799,10075,313,7603,403,1955735,97823,
1991:Q1,RemainingTop1,3230242,692814,522482,170333,2537427,381305,101934,344890,301404,43486,44760,24453,20307,603955,29814,8779,89229,148382,769479,14900,110156,108694,74505,9125,622,24442,1461,3120086,845814,
1991:Q1,Next9,8638321,2553034,2096331,456704,6085287,1164588,181335,500920,442490,58430,101176,21426,79750,847946,124848,156727,350315,1520141,1071950,65341,582026,576937,466431,65641,990,43875,5089,8056295,8482904,
1991:Q1,Next40,9708946,4314188,3454144,860044,5394758,1211315,108671,186134,161079,25055,31245,6515,24730,422374,185471,206698,287219,2056390,579094,120148,1675872,1668387,1289177,338967,1087,39156,7485,8033074,37803716,
1991:Q1,Bottom50,1939093,1332629,911108,421520,606464,175250,8502,16435,15217,1219,2087,283,1805,32197,46207,17261,45453,166649,50436,45986,1096077,1094185,688241,378399,704,26842,1892,843015,47236453,
1991:Q2,TopPt1,1982546,373883,222512,151371,1608663,130898,60044,369574,283539,86035,24208,9922,14286,337052,11704,525,16162,27367,626122,5005,27082,26710,10423,8433,96,7758,372,1955464,97273,
1991:Q2,RemainingTop1,3223921,702569,531877,170692,2521352,360869,95098,359401,309568,49833,45872,24232,21640,591833,29480,9085,91028,154410,769327,14948,115359,114041,77779,9772,185,26306,1317,3108562,848878,
1991:Q2,Next9,8648675,2554396,2092846,461550,6094280,1145076,174924,513340,451765,61575,99551,20585,78966,837785,128720,160833,358529,1538646,1070965,65910,602175,597098,485616,66806,292,44384,5077,8046501,8503518,
1991:Q2,Next40,9789051,4326273,3453961,872312,5462778,1209334,105639,192643,163667,28976,30771,6079,24692,430378,190115,212204,292054,2102018,576599,121022,1690859,1683387,1310696,333470,316,38905,7472,8098193,37901012,
1991:Q2,Bottom50,1965844,1355366,927585,427782,610478,174569,7910,16759,15392,1367,2226,303,1923,33129,46808,17271,46238,167861,51073,46633,1116466,1114600,705599,382825,220,25955,1866,849378,47356692,
1991:Q3,TopPt1,2003385,366488,232139,134349,1636897,127834,59363,367971,294127,73844,27745,12371,15374,372165,11237,495,15624,29730,619713,5018,25645,25302,10080,6982,80,8161,342,1977740,96808,
1991:Q3,RemainingTop1,3276788,711027,538201,172826,2565761,346758,94101,367792,317179,50613,50669,27830,22838,632092,28054,9366,94497,160454,766984,14995,118725,117553,80304,10279,148,26823,1172,3158063,851853,
1991:Q3,Next9,8727592,2547223,2071890,475333,6180369,1137753,173492,519144,459099,60045,102313,24828,77485,887697,131430,163895,375707,1557198,1065253,66487,627659,622594,504186,68276,236,49897,5064,8099933,8524655,
1991:Q3,Next40,9921922,4354312,3467382,886931,5567609,1215400,104789,193876,165403,28474,31648,7217,24431,459729,193569,217167,308252,2147707,573570,121902,1695416,1687959,1315597,329860,256,42247,7457,8226505,37997939,
1991:Q3,Bottom50,2016662,1398046,964041,434004,618616,175088,7588,16834,15553,1280,2389,387,2001,35907,47208,17264,48361,169075,51616,47285,1119232,1117393,703801,387104,188,26300,1839,897430,47477040,
1991:Q4,TopPt1,2101648,370437,244354,126084,1731211,127933,60156,364193,298666,65527,34312,18140,16172,468158,10972,466,15279,32101,612567,5074,24363,24043,9808,5491,159,8586,319,2077285,96426,
1991:Q4,RemainingTop1,3429900,725111,552233,172879,2704789,338300,95415,377132,322831,54301,57128,33411,23717,755813,27176,9663,98574,166558,763883,15146,122903,121840,83505,10815,278,27242,1063,3306997,854744,
1991:Q4,Next9,8935846,2560340,2080246,480094,6375506,1141343,174105,520165,459406,60759,108326,33627,74698,1030465,134769,167663,396356,1576754,1058126,67433,658073,652998,526080,70647,452,55819,5075,8277772,8546290,
1991:Q4,Next40,10102710,4383309,3484673,898636,5719400,1228700,104851,194385,164189,30196,33490,9749,23741,520590,197654,222506,328967,2194376,570306,123575,1717244,1709783,1332535,330870,494,45884,7461,8385466,38094591,
1991:Q4,Bottom50,2056630,1424791,985095,439697,631839,176687,7370,17014,15707,1307,2529,534,1995,41502,47713,17271,51003,170302,52143,48307,1142134,1140315,715429,397758,378,26751,1818,914497,47597572,
1992:Q1,TopPt1,2098432,382280,258367,123913,1716152,112141,64943,375122,314993,60129,30303,13266,17036,456882,10734,435,13778,34562,612118,5134,22915,22613,9811,3971,191,8640,302,2075517,96123,
1992:Q1,RemainingTop1,3410536,743411,571586,171826,2667125,298875,103196,393230,331914,61315,54949,30288,24661,729536,26342,9897,99282,173299,763222,15298,129198,128213,86758,11396,316,29743,985,3281338,857556,
1992:Q1,Next9,8936280,2587877,2108612,479265,6348404,1087006,180303,535487,471739,63749,99039,26992,72046,1005424,138183,168943,399094,1609371,1057157,68395,688048,682942,557975,70416,523,54028,5106,8248232,8568395,
1992:Q1,Next40,10184855,4415213,3504845,910368,5769642,1203553,107385,202250,167880,34370,30508,7409,23099,524988,201809,226538,326438,2253540,567362,125272,1708254,1700774,1339181,317057,575,43962,7479,8476602,38191064,
1992:Q1,Bottom50,2074725,1442582,995859,446723,632142,172550,7424,17299,15848,1451,2500,498,2002,42141,48228,17237,50922,171677,52821,49342,1132052,1130251,713996,390513,464,25277,1801,942673,47718364,
1992:Q2,TopPt1,2086889,389303,270598,118704,1697586,108551,61263,363839,312130,51709,33100,15187,17913,459393,10268,409,12663,34245,608645,5211,21648,21361,9669,2478,252,8962,288,2065241,95895,
1992:Q2,RemainingTop1,3390565,754305,582602,171703,2636260,282498,97053,401843,335291,66552,58379,32766,25613,721609,24780,10227,101164,162364,760860,15484,133628,132704,89597,11929,390,30789,923,3256938,860292,
1992:Q2,Next9,8982277,2594386,2112252,482134,6387891,1076241,174490,528471,463268,65203,99551,30245,69306,1000922,140834,173970,408223,1663198,1052509,69482,718052,712904,582687,71889,659,57669,5148,8264226,8590943,
1992:Q2,Next40,10280573,4426185,3501191,924993,5854388,1207331,104580,200062,162950,37112,30538,8107,22431,536324,205178,232551,332068,2314508,564015,127233,1712117,1704610,1345666,312266,730,45948,7507,8568456,38287451,
1992:Q2,Bottom50,2101049,1462110,1006566,455544,638940,172728,6895,17526,16006,1519,2599,594,2005,43401,48611,17266,51796,174183,53434,50501,1134409,1132622,713076,393770,622,25154,1787,966640,47839490,
1992:Q3,TopPt1,2110240,378514,281279,97235,1731725,107355,59770,367888,328639,39249,33687,14875,18811,489641,10254,383,11967,33944,611542,5295,19773,19496,9320,879,155,9142,277,2090467,95740,9281039
1992:Q3,RemainingTop1,3421673,766811,592736,174075,2654862,270444,94406,411822,344195,67628,59926,33346,26581,751183,24551,10529,104339,151173,760807,15681,138949,138067,92620,12562,223,32662,882,3282725,862959,2555572
1992:Q3,Next9,9105011,2597008,2097509,499499,6508003,1073870,171628,538374,474608,63766,96712,30205,66507,1038206,144964,177952,424482,1717436,1053758,70620,737511,732308,599650,74009,382,58266,5203,8367500,8613909,555968
1992:Q3,Next40,10452428,4477270,3537482,939788,5975157,1216725,103059,202810,166123,36687,29522,7774,21748,562117,210049,238021,346929,2375723,560908,129295,1730241,1722697,1365520,311020,421,45736,7544,8722187,38383848,83514
1992:Q3,Bottom50,2165213,1515927,1054982,460945,649286,173742,6518,17561,16131,1429,2657,649,2008,45964,49245,17278,53741,176678,54192,51710,1158110,1156335,728218,403462,390,24265,1775,1007103,47961027,
1992:Q4,TopPt1,2216561,379886,276717,103168,1836676,116659,56304,385264,339780,45484,36835,18061,18774,572512,11520,426,12562,31492,607615,5486,20494,20191,9848,917,218,9209,303,2196067,95654,
1992:Q4,RemainingTop1,3585563,769098,594850,174248,2816465,283018,90484,411659,342572,69087,59657,33491,26166,883261,27735,10807,109707,147058,776926,16155,142600,141641,96140,12451,327,32723,959,3442963,865560,
1992:Q4,Next9,9283117,2606852,2107365,499487,6676265,1079443,167946,528408,462307,66101,91280,26569,64710,1156099,142478,190313,431112,1783634,1034865,70688,738724,733649,603389,74644,530,55085,5075,8544393,8637263,
1992:Q4,Next40,10624451,4533107,3588655,944452,6091344,1220700,99122,203308,166849,36459,28518,6795,21723,597569,214385,245701,360372,2428087,562530,131054,1745816,1738210,1374033,318347,635,45195,7606,8878635,38480366,
1992:Q4,Bottom50,2227567,1560949,1089050,471899,666618,174702,6408,18673,17269,1403,2709,632,2077,50326,51233,17321,60342,177302,54318,53286,1206208,1204389,756942,418411,577,28458,1819,1021359,48083064,
1993:Q1,TopPt1,2322642,409319,275628,133691,1913323,115196,57652,409921,350608,59313,44952,26176,18775,599470,12786,463,13699,28923,624597,5665,21322,20989,10279,881,357,9472,332,2301320,95637,
1993:Q1,RemainingTop1,3678807,770363,601022,169341,2908444,274398,94433,419122,340791,78331,63204,37431,25773,938324,30911,10957,116717,141829,801967,16582,144626,143571,98833,12486,557,31695,1055,3534181,868097,
1993:Q1,Next9,9369514,2628860,2153849,475011,6740654,1045061,171432,522995,449683,73312,92086,29099,62988,1189273,139955,197789,446952,1828351,1036168,70592,735388,730430,601581,72102,859,55888,4958,8634126,8660966,
1993:Q1,Next40,10682302,4529729,3585415,944313,6152574,1198119,98426,209464,167397,42067,29365,7637,21728,604719,218714,250821,385412,2459837,565235,132461,1735244,1727566,1370693,308210,1129,47535,7677,8947058,38577190,
1993:Q1,Bottom50,2228442,1549054,1065011,484043,679388,171708,6624,20062,18398,1664,2869,717,2153,52131,53227,17289,68203,177690,54882,54704,1222927,1221060,772801,413583,996,33680,1867,1005515,48205755,
1993:Q2,TopPt1,2364160,407150,271055,136095,1957010,120676,55489,418956,347810,71146,52055,33272,18784,613592,14144,501,14137,26372,635254,5833,21890,21528,10793,867,320,9548,362,2342270,95688,
1993:Q2,RemainingTop1,3749975,773820,602953,170867,2976155,279110,92428,418769,335093,83676,65754,40389,25365,975041,34356,11117,121549,136569,824490,16972,148405,147253,102512,12461,524,31756,1152,3601570,870575,
1993:Q2,Next9,9410289,2640293,2160468,479825,6769996,1035566,169461,501650,423788,77862,91284,30062,61222,1202949,137695,205623,451603,1873886,1029917,70362,734789,729951,604849,71745,752,52605,4838,8675499,8684979,
1993:Q2,Next40,10796171,4598167,3645489,952677,6198004,1192074,95336,207030,162211,44819,29752,8026,21725,605623,223345,256150,395503,2492209,567396,133585,1749392,1741643,1383378,310245,1070,46950,7749,9046779,38674524,
1993:Q2,Bottom50,2295404,1603914,1107125,496788,691490,171184,6590,21272,19481,1791,3004,776,2228,53351,55278,17265,74182,178081,55288,55996,1270429,1268515,806296,423344,939,37935,1914,1024975,48329266,
1993:Q3,TopPt1,2435014,401594,266067,135527,2033420,127663,54587,436015,351855,84160,53680,34879,18801,650925,15554,542,14704,23839,649877,6032,22654,22261,11146,854,364,9898,392,2412360,95807,
1993:Q3,RemainingTop1,3858187,776461,603544,172917,3081726,286545,92436,420146,331198,88947,65368,40421,24946,1043708,37939,11341,126729,131329,848751,17435,150525,149277,105942,12427,622,30285,1249,3707661,872995,
1993:Q3,Next9,9500217,2647980,2160481,487499,6852237,1030970,169323,487165,404974,82192,85991,26566,59425,1250602,135556,215959,458508,1921249,1026533,70381,733668,728951,600837,72318,839,54956,4717,8766549,8709261,
1993:Q3,Next40,10937327,4671201,3709942,961259,6266126,1189267,93078,207480,159897,47583,28755,7037,21718,617349,228134,262811,408243,2526188,569560,135261,1774335,1766514,1397299,317489,1304,50423,7821,9162992,38772571,
1993:Q3,Bottom50,2370658,1664944,1156267,508677,705714,171148,6640,22456,20534,1922,3057,754,2302,55595,57362,17281,80382,178486,55758,57549,1329059,1327097,842792,439580,1125,43599,1962,1041599,48453765,
1993:Q4,TopPt1,2544069,407368,263158,144211,2136701,133104,56199,471375,365230,106145,57149,38314,18835,691106,16983,576,15028,21295,667695,6191,23521,23098,11621,938,360,10179,423,2520549,95993,
1993:Q4,RemainingTop1,3985955,783230,609309,173922,3202725,290698,96647,431281,329948,101333,66078,41554,24525,1115921,41551,11419,131064,125918,874376,17772,152725,151378,109285,12211,646,29236,1347,3833230,875360,
1993:Q4,Next9,9611010,2671576,2183777,487800,6939434,1020059,173098,484818,395120,89698,82654,25035,57619,1301709,133417,220595,461461,1966481,1025183,69959,736769,732174,601146,74509,811,55708,4595,8874241,8733771,
1993:Q4,Next40,11071859,4740079,3768067,972012,6331781,1182295,92469,217897,161404,56493,28357,6643,21713,630019,232961,266502,415622,2558030,571643,135986,1801099,1793206,1405413,333662,1373,52758,7893,9270760,38871533,
1993:Q4,Bottom50,2429825,1711081,1186948,524134,718744,170496,6870,23992,21613,2379,3143,765,2379,57946,59459,17215,85823,178864,56271,58666,1388651,1386640,871714,464849,1175,48902,2010,1041175,48579420,
1994:Q1,TopPt1,2619857,426443,262082,164361,2193414,137120,58711,529394,410105,119289,61249,42345,18904,653140,18092,609,15070,18744,694902,6383,24049,23595,11935,878,485,10297,454,2595808,96246,
1994:Q1,RemainingTop1,4000882,789107,617287,171820,3211775,291787,102364,441220,337083,104137,67208,43088,24121,1076874,44138,11465,134374,120425,903729,18190,156007,154559,112216,12280,905,29158,1448,3844876,877672,
1994:Q1,Next9,9632829,2701446,2226254,475192,6931383,1003266,178208,505763,413475,92288,80008,24137,55871,1237075,130135,223971,459706,2011377,1032065,69809,724991,720519,593608,73046,1067,52798,4472,8907838,8758470,
1994:Q1,Next40,11131482,4776456,3799270,977186,6355027,1171488,92336,233010,175570,57439,28175,6438,21737,606480,236662,269548,416740,2589465,573806,137317,1803560,1795593,1411539,329572,2001,52482,7967,9327922,38971613,
1994:Q1,Bottom50,2452620,1725729,1188251,537478,726891,169275,7165,25311,22882,2429,3248,786,2462,56776,61375,17132,90362,179236,56944,60069,1425359,1423300,900170,468101,1666,53363,2059,1027261,48706397,
1994:Q2,TopPt1,2686677,431869,259169,172700,2254808,139233,57357,580636,445773,134863,62556,43586,18970,635466,19263,637,15656,16181,721263,6559,25016,24530,12518,955,621,10436,486,2661662,96565,
1994:Q2,RemainingTop1,4029199,794254,621583,172670,3234946,288869,101369,448974,340876,108099,66831,43139,23692,1065106,46872,11424,139431,114842,932677,18550,159567,158018,115736,12075,1207,29000,1550,3869632,879935,
1994:Q2,Next9,9652546,2721734,2246191,475544,6930812,978868,177207,517252,422005,95247,75809,21766,54043,1201721,126980,223925,467077,2055739,1036780,69454,728327,723979,597980,74523,1335,50141,4347,8924219,8783316,
1994:Q2,Next40,11224738,4839657,3852624,987033,6385081,1155751,89751,245116,185661,59454,27509,5769,21740,591995,240535,270797,429439,2620332,575642,138214,1825084,1817043,1419894,341957,2787,52405,8041,9399654,39073015,
1994:Q2,Bottom50,2505568,1769600,1217999,551601,735968,167320,7173,26638,24101,2538,3313,772,2541,56445,63326,17001,96305,179601,57571,61275,1479854,1477745,928494,489070,2252,57929,2109,1025714,48834865,
1994:Q3,TopPt1,2760503,426709,254318,172392,2333794,146823,59202,613348,466883,146465,64609,45562,19047,651632,21398,672,16569,13622,739132,6787,25794,25276,13072,1039,639,10525,519,2734709,96949,
1994:Q3,RemainingTop1,4110184,795459,620087,175373,3314725,296348,105827,448620,340845,107775,66888,43633,23256,1100763,52506,11498,145567,109338,958334,19036,163205,161554,119245,11837,1302,29170,1651,3946979,882150,
1994:Q3,Next9,9721845,2726099,2241314,484784,6995746,973545,181164,513329,416965,96364,72321,20132,52189,1216044,126951,228403,479950,2102900,1031611,69529,728901,724680,600667,76466,1329,46219,4221,8992944,8808269,
1994:Q3,Next40,11362114,4910529,3911605,998924,6451585,1152566,89095,247369,189705,57664,27064,5323,21741,593455,247631,274462,449047,2653830,577002,140063,1849206,1841091,1429444,357138,3067,51443,8115,9512907,39175941,
1994:Q3,Bottom50,2582030,1831801,1266775,565027,750229,167245,7416,27706,25259,2447,3391,771,2620,57660,65824,16941,103116,179996,58006,62928,1538948,1536789,958621,513474,2448,62246,2159,1043082,48964990,
1994:Q4,TopPt1,2862132,428023,250236,177787,2434109,154004,63252,685311,516353,168959,66455,47371,19084,643819,22512,698,16255,11022,763786,6994,27121,26569,13689,1198,771,10911,552,2835011,97400,
1994:Q4,RemainingTop1,4164835,794958,618706,176252,3369877,302684,114066,461932,346467,115466,66819,44062,22758,1101029,54942,11405,147380,103623,986545,19451,165215,163462,122750,11408,1638,27666,1753,3999620,884320,
1994:Q4,Next9,9753435,2730598,2243552,487046,7022837,965867,188425,535273,434884,100389,68769,18631,50137,1194367,123412,226344,472083,2147046,1031900,69352,739721,735629,605664,79909,1555,48501,4092,9013715,8833288,
1994:Q4,Next40,11447692,4960467,3953718,1006749,6487225,1147873,89583,267883,204634,63249,26591,4912,21679,583440,251202,274651,441877,2684450,578295,141379,1885871,1877681,1437567,381157,4037,54919,8190,9561821,39280595,
