Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1746474,1789445,142235,197650,297727,10382,23995,589471,527985,42970,14297,21060,7613
1989:Q3,RemainingTop1,2884453,2962562,451762,161000,584094,112641,83828,737952,831285,78109,57447,5118,15544
1989:Q3,Next9,7622755,8121376,2073287,420125,806808,1411022,422678,1013151,1974304,498621,393906,56985,47730
1989:Q3,Next40,7395573,8969918,3410001,757814,342980,1784509,420489,583729,1670395,1574345,1161831,362749,49765
1989:Q3,Bottom50,774497,1730886,815414,359761,24080,159412,56819,45323,270078,956389,583208,338295,34886
1989:Q4,TopPt1,1799240,1839920,156774,198967,310803,12953,23330,596982,540111,40680,13636,19327,7717
1989:Q4,RemainingTop1,2950044,3033604,473108,161649,597476,118861,87161,744743,850605,83560,60128,5632,17800
1989:Q4,Next9,7755658,8267371,2110392,419938,824807,1435647,441969,1025120,2009498,511713,404230,60094,47389
1989:Q4,Next40,7530446,9130793,3433440,774232,359291,1835986,438995,583779,1705069,1600346,1182308,369092,48946
1989:Q4,Bottom50,769228,1758008,820602,370989,25664,160686,58533,46206,275328,988780,599814,355140,33826
1990:Q1,TopPt1,1793666,1832070,166989,186242,285066,15414,21801,607035,549522,38404,13217,17202,7985
1990:Q1,RemainingTop1,2939695,3028997,482178,165432,555253,124678,88196,752179,861081,89302,63718,6436,19148
1990:Q1,Next9,7750619,8285863,2099910,433901,778508,1451474,449360,1039143,2033567,535244,425399,60038,49807
1990:Q1,Next40,7623570,9239044,3449951,797064,354550,1879047,442869,583779,1731784,1615474,1209328,355938,50208
1990:Q1,Bottom50,798736,1808231,851019,384491,25525,161867,58492,47144,279693,1009494,623249,352706,33539
1990:Q2,TopPt1,1840720,1877015,180196,187553,300104,17864,20525,613756,557017,36295,12791,15473,8031
1990:Q2,RemainingTop1,2980196,3074946,498280,165520,570407,130692,90026,757771,862250,94750,66991,7024,20735
1990:Q2,Next9,7834853,8391803,2123255,432692,799136,1471000,467499,1049476,2048745,556949,445116,61761,50072
1990:Q2,Next40,7717390,9351538,3451867,812013,372178,1925638,454454,583156,1752233,1634147,1230461,353989,49697
1990:Q2,Bottom50,792270,1825314,851171,394733,27228,163088,59043,48004,282047,1033044,640051,360465,32528
1990:Q3,TopPt1,1792411,1826208,189719,171319,228598,20257,18565,621276,576474,33797,12236,13777,7784
1990:Q3,RemainingTop1,2900667,3001059,505671,168207,459272,136528,89615,763249,878516,100392,69822,7615,22955
1990:Q3,Next9,7748582,8317001,2105247,446452,671353,1486439,462620,1060100,2084790,568419,457832,64033,46554
1990:Q3,Next40,7764546,9416405,3469799,828054,337392,1968319,446959,582316,1783565,1651859,1250611,354937,46311
1990:Q3,Bottom50,813060,1871647,887747,402212,24626,164264,57896,48878,286024,1058587,656235,371941,30411
1990:Q4,TopPt1,1877181,1908743,199252,160796,272920,22644,17988,629129,606014,31562,11502,12010,8050
1990:Q4,RemainingTop1,2997546,3102545,509981,169812,516727,142496,93243,768410,901876,104999,72162,8284,24553
1990:Q4,Next9,7895413,8472127,2085471,455072,743109,1504305,483507,1070540,2130123,576714,461663,66167,48884
1990:Q4,Next40,7888357,9561143,3458925,843223,374126,2013322,467246,581210,1823090,1672786,1270738,354641,47407
1990:Q4,Bottom50,824457,1910930,906794,410217,27888,165468,59841,49756,290966,1086472,673190,383288,29994
1991:Q1,TopPt1,1955735,1984927,211463,159228,339469,25001,17813,628499,603454,29192,10799,10075,8318
1991:Q1,RemainingTop1,3120086,3230242,522482,170333,603955,148382,98008,769479,917603,110156,74505,9125,26526
1991:Q1,Next9,8056295,8638321,2096331,456704,847946,1520141,507042,1071950,2138208,582026,466431,65641,49954
1991:Q1,Next40,8033074,9708946,3454144,860044,422374,2056390,493917,579094,1842983,1675872,1289177,338967,47728
1991:Q1,Bottom50,843015,1939093,911108,421520,32197,166649,62714,50436,294468,1096077,688241,378399,29437
1991:Q2,TopPt1,1955464,1982546,222512,151371,337052,27367,16687,626122,601435,27082,10423,8433,8226
1991:Q2,RemainingTop1,3108562,3223921,531877,170692,591833,154410,100113,769327,905669,115359,77779,9772,27808
1991:Q2,Next9,8046501,8648675,2092846,461550,837785,1538646,519362,1070965,2127522,602175,485616,66806,49753
1991:Q2,Next40,8098193,9789051,3453961,872312,430378,2102018,504258,576599,1849525,1690859,1310696,333470,46693
1991:Q2,Bottom50,849378,1965844,927585,427782,33129,167861,63509,51073,294906,1116466,705599,382825,28042
