Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,7.6,3.9,2.1,10.4,9.8,4.6,11.6,26.5,21.2,58.7,8.1,17.6,4.8,14.5,3.8,0.2,3.4,0.3,19.8,2.1,1.4,1.4,0.6,2.7,8,5,2.9,8.6,103110,7791895
1989:Q3,RemainingTop1,12.6,7,6.6,8.5,15.9,14.1,18,22.7,24.7,10.2,17.4,37.8,10.1,28.4,9.5,2.1,11.2,3.2,24.8,6.1,2.5,2.4,2.6,0.7,18,9.8,9.5,14.1,825297,2256876
1989:Q3,Next9,34.5,28.4,30.1,22.2,38.1,38,41.7,36.5,38.4,25.1,56.7,33.2,65,39.2,29.4,39.3,43.2,40.6,34.1,26.2,15.8,15.8,17.8,7.3,27.9,30.9,29.7,37.3,8371716,484932
1989:Q3,Next40,38,47.4,49.5,40,32.5,37.8,26.4,13.1,14.4,5.5,17.1,11.2,19.2,16.7,45.2,53,36.4,51.3,19.7,48.2,50,50,52.6,46.3,30.3,30.5,45.6,36.2,37206901,70501
1989:Q3,Bottom50,7.3,13.4,11.8,19,3.8,5.5,2.3,1.2,1.4,0.4,0.7,0.2,0.8,1.2,12.1,5.3,5.8,4.6,1.5,17.4,30.4,30.4,26.4,43.1,15.7,23.8,12.3,3.8,46513077,
1989:Q4,TopPt1,7.7,4,2.2,10.3,9.8,4.6,12,26.3,21.3,56,9.4,18.2,5.6,14.7,3.7,0.2,3.2,0.4,19.9,2.1,1.3,1.3,0.6,2.4,8,5.1,3,8.6,101976,
1989:Q4,RemainingTop1,12.6,7.1,6.8,8.4,15.9,13.9,18.6,23.1,25,11.7,18.7,36.8,10.9,28.2,9.3,2.1,11.2,3.3,24.9,6.1,2.6,2.6,2.7,0.7,17.9,11.3,10.5,14.2,828994,
1989:Q4,Next9,34.4,28.4,30.2,21.8,38,38,41.3,36.3,38.2,25.5,54.6,33.6,63.7,38.9,29.8,39.6,43.3,40.3,34.2,26.2,15.9,15.8,17.9,7.4,27.7,30.6,29.8,37.3,8388627,
1989:Q4,Next40,38,47.2,49.1,40.2,32.6,38,25.9,13.1,14.2,6.4,16.6,11.2,19,17,45.3,53,36.6,51.5,19.5,48.1,49.6,49.6,52.3,45.6,30.2,29.9,44.8,36.2,37308395,
1989:Q4,Bottom50,7.3,13.4,11.7,19.3,3.7,5.6,2.2,1.2,1.4,0.4,0.7,0.3,0.9,1.2,12,5.1,5.8,4.5,1.5,17.6,30.7,30.8,26.5,43.9,16.2,23.1,11.9,3.7,46634247,
1990:Q1,TopPt1,7.6,3.9,2.4,9.5,9.7,4.5,12.6,26,21.7,53.5,9.4,17.3,6.4,14.3,3.5,0.2,3,0.4,20,2.1,1.2,1.2,0.6,2.2,8,5.1,2.8,8.6,100948,
1990:Q1,RemainingTop1,12.5,7.2,6.8,8.4,15.7,13.5,19.6,23.3,25,13,19,38.1,11.6,27.8,8.9,2.2,11.3,3.4,24.8,6,2.7,2.7,2.7,0.8,17.6,12,9.6,14.1,832574,
1990:Q1,Next9,34.2,28.1,29.8,22.1,37.9,38,40.5,36.4,38,26.2,54.2,33.4,62.3,38.9,30.1,39.8,43.6,40,34.3,26.1,16.3,16.2,18.2,7.6,27.6,31.2,30.1,37.1,8406221,
1990:Q1,Next40,38.2,47.1,48.9,40.5,32.9,38.4,25.1,13.1,14.1,6.9,16.6,11,18.7,17.7,45.6,52.9,36.3,51.7,19.3,48,49.1,49.2,51.8,44.9,30.2,29.6,45.5,36.5,37408953,
1990:Q1,Bottom50,7.5,13.7,12.1,19.5,3.8,5.6,2.1,1.2,1.3,0.4,0.8,0.3,1,1.3,11.9,5,5.8,4.5,1.6,17.8,30.7,30.8,26.7,44.5,16.6,22.1,12,3.8,46755074,
1990:Q2,TopPt1,7.7,4,2.5,9.4,9.8,4.5,12.3,25.9,22.1,50.6,9.9,17,7.1,14.5,3.4,0.2,2.8,0.5,20.1,2,1.1,1.1,0.5,1.9,8.1,5.2,2.7,8.7,100022,
1990:Q2,RemainingTop1,12.5,7.3,7,8.3,15.6,13.2,19.3,23.5,24.9,14.5,19.7,38.4,12.3,27.6,8.6,2.2,11.4,3.5,24.8,6,2.8,2.8,2.8,0.9,17.5,13.1,9.3,14.1,836041,
1990:Q2,Next9,34.2,28.1,29.9,21.7,37.8,38,40.9,36.2,37.8,26.6,53.2,33.4,61,38.6,30.4,40.7,43.9,39.7,34.4,26.1,16.6,16.5,18.6,7.7,27.4,31.3,30.4,37,8424473,
