Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,TopPt1,8.6,7.6,2.1,10.4,14.5,0.3,2.4,19.9,10,1.4,0.6,2.7,4.9,2.3809074933841634
1989:Q3,RemainingTop1,14.1,12.6,6.6,8.5,28.4,3.2,8.3,24.8,15.8,2.5,2.6,0.7,10,8.317845941046368
1989:Q3,Next9,37.3,34.5,30.1,22.2,39.2,40.6,41.9,34.1,37.4,15.8,17.8,7.3,30.7,41.94028828875312
1989:Q3,Next40,36.2,38,49.5,40,16.7,51.3,41.7,19.7,31.7,50,52.6,46.3,32,41.72308443365757
1989:Q3,Bottom50,3.8,7.3,11.8,19,1.2,4.6,5.6,1.5,5.1,30.4,26.4,43.1,22.4,5.637873843158773
1989:Q4,TopPt1,8.6,7.7,2.2,10.3,14.7,0.4,2.2,19.9,10,1.3,0.6,2.4,5,2.221930155392252
1989:Q4,RemainingTop1,14.2,12.6,6.8,8.4,28.2,3.3,8.3,24.9,15.8,2.6,2.7,0.7,11.4,8.301142489247496
1989:Q4,Next9,37.3,34.4,30.2,21.8,38.9,40.3,42.1,34.2,37.3,15.9,17.9,7.4,30.4,42.092766774477425
1989:Q4,Next40,36.2,38,49.1,40.2,17,51.5,41.8,19.5,31.7,49.6,52.3,45.6,31.4,41.80952544219553
1989:Q4,Bottom50,3.7,7.3,11.7,19.3,1.2,4.5,5.6,1.5,5.1,30.7,26.5,43.9,21.7,5.574635138687299
1990:Q1,TopPt1,8.6,7.6,2.4,9.5,14.3,0.4,2.1,20,10.1,1.2,0.6,2.2,5,2.05530593428225
1990:Q1,RemainingTop1,14.1,12.5,6.8,8.4,27.8,3.4,8.3,24.8,15.8,2.7,2.7,0.8,11.9,8.31474529516799
1990:Q1,Next9,37.1,34.2,29.8,22.1,38.9,40,42.4,34.3,37.3,16.3,18.2,7.6,31,42.36375737943544
1990:Q1,Next40,36.5,38.2,48.9,40.5,17.7,51.7,41.8,19.3,31.7,49.1,51.8,44.9,31.2,41.75181339432347
1990:Q1,Bottom50,3.8,7.5,12.1,19.5,1.3,4.5,5.5,1.6,5.1,30.7,26.7,44.5,20.9,5.514377996790853
1990:Q2,TopPt1,8.7,7.7,2.5,9.4,14.5,0.5,1.9,20.1,10.1,1.1,0.5,1.9,5,1.8803587935288173
1990:Q2,RemainingTop1,14.1,12.5,7,8.3,27.6,3.5,8.2,24.8,15.7,2.8,2.8,0.9,12.9,8.247560572288688
1990:Q2,Next9,37,34.2,29.9,21.7,38.6,39.7,42.8,34.4,37.2,16.6,18.6,7.7,31.1,42.829030724283975
1990:Q2,Next40,36.5,38.1,48.6,40.8,18,51.9,41.6,19.1,31.8,48.7,51.4,44.3,30.9,41.63393788815324
