Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18448768,21030570,5993550,1643620,1977789,2975262,911183,2623291,4905875,2581803,1826714,620290,134799
1989:Q3,Black,813293,997756,338458,110864,16812,304031,53056,38126,136410,184464,104554,78234,1676
1989:Q3,Hispanic,430988,633914,263016,67249,14467,102429,22186,55980,108586,202927,142169,46589,14169
1989:Q3,Other,730704,911946,297675,74617,46621,96243,21383,252229,123179,181242,137252,39094,4896
1989:Q4,White,18737378,21371825,6062466,1660151,2034442,3041763,944439,2635019,4993545,2634446,1861033,639189,134224
1989:Q4,Black,841951,1034587,345594,116421,18112,314728,57581,42649,139503,192637,110337,80112,2188
1989:Q4,Hispanic,455387,666005,278805,69720,15081,106051,23541,61553,111254,210618,147692,49383,13543
1989:Q4,Other,769899,957279,307452,79484,50405,101591,24427,257608,136312,187379,141053,40601,5725
1990:Q1,White,18784507,21466706,6105370,1692378,1917096,3094308,951169,2652313,5054072,2682198,1918309,625252,138637
1990:Q1,Black,854966,1053238,346090,117963,18039,324134,58976,47421,140615,198272,117511,78019,2742
1990:Q1,Hispanic,464344,680683,280777,73555,14795,108464,24055,67250,111787,216339,153633,49822,12884
1990:Q1,Other,802469,993579,317810,83233,48972,105574,26519,262298,149172,191109,145460,39227,6422
1990:Q2,White,18970831,21707199,6141215,1706328,1981625,3153754,974420,2662368,5087489,2736368,1967363,630349,138656
1990:Q2,Black,880373,1084335,350386,123529,19454,334383,62578,52115,141889,203962,122537,78227,3198
1990:Q2,Hispanic,480142,700084,290269,74979,15268,110505,25078,72392,111593,219942,156986,50925,12031
1990:Q2,Other,834085,1028998,322899,87674,52706,109641,29472,265288,161318,194913,148526,39211,7176
1990:Q3,White,18799950,21580504,6188701,1726360,1645902,3207099,959437,2674085,5178920,2780554,2007739,641246,131569
1990:Q3,Black,885784,1096670,350556,122622,17478,344167,61226,56978,143643,210886,128223,79214,3449
1990:Q3,Hispanic,479357,702553,287048,77046,13694,111684,24564,77377,111140,223196,159913,52332,10951
1990:Q3,Other,854175,1052593,331878,90218,44166,112857,30426,267380,175668,198419,150861,39510,8048
1990:Q4,White,19212459,22037794,6193905,1743845,1848162,3265180,996424,2686386,5303892,2825334,2038384,650938,136012
1990:Q4,Black,902849,1122426,348728,123874,20136,354581,66372,61995,146740,219577,135333,80160,4084
1990:Q4,Hispanic,479883,706622,282315,78323,14725,112470,25503,82116,111170,226739,162967,53719,10053
1990:Q4,Other,887763,1088646,335475,93079,51748,116003,33526,268548,190267,200883,152571,39573,8739
