Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,89.2,86.9,87,86.7,90.6,91.4,97,97.4,97.1,99,98.9,99.2,98.8,96.2,89.4,84.8,93,85.5,88.3,85.9,82,81.9,82.6,79.1,93.2,86.1,89.3,90.3,69591129
1989:Q3,Black,4.2,5.1,4.9,5.8,3.7,3.2,1.5,0.8,0.9,0.4,0.1,0,0.1,0.8,4.3,8.9,3.5,8.7,1.3,5.4,5.9,5.9,4.7,10,2.9,0.6,4.3,4,11845844
1989:Q3,Hispanic,2.7,3.8,3.8,3.5,2.1,2.9,0.2,0.5,0.5,0,0,0,0,0.7,2.4,3.3,1.7,2.9,1.9,4,6.4,6.5,6.4,5.9,2.9,10.1,2.4,2.1,7359603
1989:Q3,Other,3.9,4.2,4.3,3.9,3.6,2.6,1.3,1.3,1.5,0.5,1,0.7,1.2,2.3,3.9,2.9,1.7,2.8,8.5,4.6,5.8,5.8,6.2,5,1,3.1,4,3.6,4223525
1989:Q4,White,88.9,86.6,86.7,86.2,90.3,91.3,96.9,97,96.8,98.3,98.6,98.8,98.5,96.1,88.5,84.4,92.5,85.3,87.9,85.6,81.7,81.7,82.3,79,93.1,85.7,88.3,90.1,69605336
1989:Q4,Black,4.3,5.2,4.9,6,3.8,3.1,1.4,0.8,0.9,0.5,0.2,0.1,0.2,0.9,4.7,9.1,3.8,8.8,1.4,5.5,6,6,4.9,9.9,2.9,0.9,4.9,4,11811814
1989:Q4,Hispanic,2.8,3.9,4,3.6,2.1,2.9,0.2,0.4,0.5,0,0,0.1,0,0.7,2.6,3.3,1.7,3,2.1,4.1,6.5,6.6,6.5,6.1,3,9.6,2.6,2.2,7536399
1989:Q4,Other,4,4.3,4.4,4.1,3.8,2.7,1.5,1.7,1.8,1.1,1.2,1.1,1.3,2.4,4.2,3.1,1.9,2.9,8.6,4.7,5.8,5.8,6.2,5,1.1,3.7,4.2,3.7,4308690
1990:Q1,White,88.7,86.5,86.6,86,90.1,91.3,96.8,96.6,96.4,97.4,98.3,98.3,98.3,95.9,87.8,84.1,92.4,85.2,87.6,85.3,81.6,81.5,82.2,78.9,92.9,85.8,87.8,89.9,69665584
1990:Q1,Black,4.4,5.1,4.9,6,3.9,3.1,1.2,0.9,0.9,0.6,0.3,0,0.4,0.9,5,9.2,3.8,8.9,1.6,5.7,6,6,5,9.8,2.9,1.3,5,4.1,11791501
1990:Q1,Hispanic,2.8,3.9,4,3.7,2.2,2.8,0.2,0.4,0.5,0.1,0,0.1,0,0.7,2.8,3.3,1.7,3,2.2,4.2,6.6,6.6,6.6,6.3,3,8.8,2.8,2.2,7669354
1990:Q1,Other,4.1,4.4,4.5,4.2,3.9,2.8,1.8,2.1,2.2,2,1.4,1.5,1.4,2.4,4.4,3.3,2.1,2.9,8.7,4.8,5.8,5.8,6.2,5,1.2,4.1,4.4,3.8,4377331
1990:Q2,White,88.5,86.3,86.4,85.6,89.9,91.3,96.5,96.1,96.1,96.6,97.9,97.8,98,95.8,87.1,83.7,92.1,85,87.2,85.1,81.6,81.5,82.1,78.9,92.8,85.8,87.2,89.6,69769213
1990:Q2,Black,4.4,5.2,4.9,6.2,4,3,1.2,0.9,0.9,0.7,0.4,0,0.5,0.9,5.3,9.4,3.8,9,1.7,5.7,6.1,6.1,5.1,9.8,2.8,1.6,5.3,4.2,11784029
1990:Q2,Hispanic,2.9,4,4.1,3.8,2.2,2.8,0.3,0.4,0.5,0.1,0.1,0.2,0,0.7,3,3.4,1.8,3,2.4,4.3,6.6,6.6,6.6,6.4,3.1,8.1,3,2.3,7761188
1990:Q2,Other,4.2,4.5,4.5,4.4,4,2.9,2,2.6,2.6,2.7,1.6,2,1.5,2.5,4.7,3.5,2.3,3,8.7,4.9,5.8,5.8,6.2,4.9,1.3,4.5,4.6,3.9,4430408
1990:Q3,White,88.3,86.3,86.5,85.6,89.6,91.3,96.4,95.7,95.7,95.5,97.6,97.3,97.7,95.6,86.4,83.5,92.2,84.9,86.9,85,81.5,81.4,82.1,78.9,92.8,85.2,86.6,89.4,69913561
