Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1989:Q3,White,90.3,89.2,87,86.7,96.2,85.5,90.4,88.3,93,82,82.6,79.1,86.7,90.41236029084905
1989:Q3,Black,4,4.2,4.9,5.8,0.8,8.7,5.3,1.3,2.6,5.9,4.7,10,1.1,5.264494824410999
1989:Q3,Hispanic,2.1,2.7,3.8,3.5,0.7,2.9,2.2,1.9,2.1,6.4,6.4,5.9,9.1,2.201411379945386
1989:Q3,Other,3.6,3.9,4.3,3.9,2.3,2.8,2.1,8.5,2.3,5.8,6.2,5,3.1,2.1217335047945642
1989:Q4,White,90.1,88.9,86.7,86.2,96.1,85.3,89.9,87.9,92.8,81.7,82.3,79,86.2,89.94759940113602
1989:Q4,Black,4,4.3,4.9,6,0.9,8.8,5.5,1.4,2.6,6,4.9,9.9,1.4,5.483967435818314
1989:Q4,Hispanic,2.2,2.8,4,3.6,0.7,3,2.2,2.1,2.1,6.5,6.5,6.1,8.7,2.2420256231499787
1989:Q4,Other,3.7,4,4.4,4.1,2.4,2.9,2.3,8.6,2.5,5.8,6.2,5,3.7,2.326407539895694
1990:Q1,White,89.9,88.7,86.6,86,95.9,85.2,89.7,87.6,92.6,81.6,82.2,78.9,86.3,89.67209977383266
1990:Q1,Black,4.1,4.4,4.9,6,0.9,8.9,5.6,1.6,2.6,6,5,9.8,1.7,5.560002224905936
1990:Q1,Hispanic,2.2,2.8,4,3.7,0.7,3,2.3,2.2,2,6.6,6.6,6.3,8,2.2678013686942533
1990:Q1,Other,3.8,4.1,4.5,4.2,2.4,2.9,2.5,8.7,2.7,5.8,6.2,5,4,2.5000966325671548
1990:Q2,White,89.6,88.5,86.4,85.6,95.8,85,89.3,87.2,92.5,81.6,82.1,78.9,86.1,89.2695511328865
1990:Q2,Black,4.2,4.4,4.9,6.2,0.9,9,5.7,1.7,2.6,6.1,5.1,9.8,2,5.732959063641728
1990:Q2,Hispanic,2.3,2.9,4.1,3.8,0.7,3,2.3,2.4,2,6.6,6.6,6.4,7.5,2.297471114417323
1990:Q2,Other,3.9,4.2,4.5,4.4,2.5,3,2.7,8.7,2.9,5.8,6.2,4.9,4.5,2.7000186890544438
1990:Q3,White,89.4,88.3,86.5,85.6,95.6,84.9,89.2,86.9,92.3,81.5,82.1,78.9,85.4,89.19577224253547
1990:Q3,Black,4.2,4.5,4.9,6.1,1,9.1,5.7,1.9,2.6,6.2,5.2,9.8,2.2,5.691984310925549
1990:Q3,Hispanic,2.3,2.9,4,3.8,0.8,3,2.3,2.5,2,6.5,6.5,6.4,7.1,2.2836360796650963
1990:Q3,Other,4.1,4.3,4.6,4.5,2.6,3,2.8,8.7,3.1,5.8,6.2,4.9,5.2,2.82860736687389
1990:Q4,White,89.4,88.3,86.5,85.5,95.5,84.8,88.8,86.7,92.2,81.4,81.9,79,85.6,88.82169678871482
1990:Q4,Black,4.2,4.5,4.9,6.1,1,9.2,5.9,2,2.6,6.3,5.4,9.7,2.6,5.916430815858089
1990:Q4,Hispanic,2.2,2.8,3.9,3.8,0.8,2.9,2.3,2.6,1.9,6.5,6.5,6.5,6.3,2.27334923004925
1990:Q4,Other,4.1,4.4,4.7,4.6,2.7,3,3,8.7,3.3,5.8,6.1,4.8,5.5,2.988523165377844
1991:Q1,White,89.4,88.3,86.5,85.2,95.5,84.8,88.5,86.5,92.1,81.4,81.8,79,85.7,88.4579319606543
1991:Q1,Black,4.2,4.5,4.9,6.2,1.1,9.3,6.2,2.2,2.5,6.4,5.6,9.7,2.9,6.1728164789307955
1991:Q1,Hispanic,2.2,2.8,4,3.8,0.7,2.9,2.2,2.8,1.9,6.5,6.5,6.6,5.6,2.246471792141376
